N,family,rows,FDTD_ready_count,usable_with_json_count,FDTD_ready_fraction,usable_fraction,median_RMS_ready
1,RP,276,69,69,0.25,0.25,0.0450566298829751
1,CP,276,195,195,0.7065217391304348,0.7065217391304348,0.1523856755057128
1,SCP,276,210,210,0.7608695652173914,0.7608695652173914,0.13247751189977586
1,CP_folded,276,229,229,0.8297101449275363,0.8297101449275363,0.137607897478873
2,RP,276,82,82,0.2971014492753623,0.2971014492753623,0.033602169611086044
2,CP,276,206,206,0.7463768115942029,0.7463768115942029,0.0303674807573392
2,SCP,276,230,230,0.8333333333333334,0.8333333333333334,0.020683142888038
2,CP_folded,276,246,246,0.8913043478260869,0.8913043478260869,0.022050008386182998
3,RP,276,73,73,0.2644927536231884,0.2644927536231884,0.0150780843604213
3,CP,276,198,198,0.717391304347826,0.717391304347826,0.015109943108857951
3,SCP,276,221,221,0.8007246376811594,0.8007246376811594,0.0057467800642181
3,CP_folded,276,243,243,0.8804347826086957,0.8804347826086957,0.00639534785442
4,RP,276,99,99,0.358695652173913,0.358695652173913,0.0058546747095519
4,CP,276,193,193,0.6992753623188406,0.6992753623188406,0.0085446909268754
4,SCP,276,221,221,0.8007246376811594,0.8007246376811594,0.00246245426554
4,CP_folded,276,243,243,0.8804347826086957,0.8804347826086957,0.0030015284865931
5,RP,276,109,109,0.39492753623188404,0.39492753623188404,0.0067347547390942
5,CP,276,206,206,0.7463768115942029,0.7463768115942029,0.00527537227386175
5,SCP,276,221,221,0.8007246376811594,0.8007246376811594,0.0015455416851914
5,CP_folded,276,243,243,0.8804347826086957,0.8804347826086957,0.0019382339877703
