material_query,record_index,book,page,data_class,k_source,requested_wl_min_um,requested_wl_max_um,record_id,record_label,material_class,final_family,final_specific_model,final_model_name,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_source_all_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target,best_available_RMS,best_available_N,best_available_family
As2Se3,2,As2Se3,Joseph-700nm,tabulated_nk,database,0.3,1.1,As2Se3|As2Se3|Joseph-700nm|2,As2Se3 / As2Se3 / Joseph-700nm / rec2,chalcogenide_or_2D,CP,SemiCP,SCP_M2,2.0,0.4729176857157428,38.06531722345866,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2Se3_As2Se3_Joseph-700nm/SCP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/As2Se3_As2Se3_Joseph-700nm/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.4729176857157428,2.0,CP
Si,23,Si,Green-1995,tabulated_n_only_assume_k0,assumed_zero_missing_k,0.3,1.1,Si|Si|Green-1995|23,Si / Si / Green-1995 / rec23,semiconductor,CP,AnalyticalCP,CP_M1,1.0,0.1490307499944543,4.934511989369689,1.000000000015025,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Green-1995/CP_M1.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/Si_Si_Green-1995/cp_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.1490307499944543,1.0,CP
WSe2,1,WSe2,Gu-1L,tabulated_nk,database,0.3,1.1,WSe2|WSe2|Gu-1L|1,WSe2 / WSe2 / Gu-1L / rec1,chalcogenide_or_2D,RP,RP,RP_M3,3.0,0.1436796607599962,2.9662950702579414,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-1L/RP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/WSe2_WSe2_Gu-1L/rp_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.1436796607599962,3.0,RP
InAs,1,InAs,Adachi,tabulated_nk,database,0.3,1.1,InAs|InAs|Adachi|1,InAs / InAs / Adachi / rec1,semiconductor,CP,SemiCP,SCP_M3,3.0,0.1244443375789024,2.260093175552735,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/InAs_InAs_Adachi/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/InAs_InAs_Adachi/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.1244443375789024,3.0,CP
InSb,1,InSb,Adachi,tabulated_nk,database,0.3,1.1,InSb|InSb|Adachi|1,InSb / InSb / Adachi / rec1,semiconductor,CP,AnalyticalCP,CP_M5,5.0,0.1034363910715858,2.5835444032790464,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/InSb_InSb_Adachi/CP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/InSb_InSb_Adachi/cp_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.1034363910715858,5.0,CP
WS2,1,WS2,Munkhbat-o,tabulated_nk,database,0.3,1.1,WS2|WS2|Munkhbat-o|1,WS2 / WS2 / Munkhbat-o / rec1,chalcogenide_or_2D,CP,AnalyticalCP,CP_M4,4.0,0.1033443042842927,2.3147698309080247,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WS2_WS2_Munkhbat-o/CP_M4.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/WS2_WS2_Munkhbat-o/cp_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.1033443042842927,4.0,CP
WSe2,4,WSe2,Gu-4L,tabulated_nk,database,0.3,1.1,WSe2|WSe2|Gu-4L|4,WSe2 / WSe2 / Gu-4L / rec4,chalcogenide_or_2D,CP,SemiCP,SCP_M4,4.0,0.1013687835578784,2.3017597418880453,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-4L/SCP_M4.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/WSe2_WSe2_Gu-4L/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.1013687835578784,4.0,CP
WSe2,3,WSe2,Gu-3L,tabulated_nk,database,0.3,1.1,WSe2|WSe2|Gu-3L|3,WSe2 / WSe2 / Gu-3L / rec3,chalcogenide_or_2D,CP,SemiCP,SCP_M5,5.0,0.096336067383983,1.949085750945936,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-3L/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/WSe2_WSe2_Gu-3L/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.096336067383983,5.0,CP
InP,1,InP,Adachi,tabulated_nk,database,0.3,1.1,InP|InP|Adachi|1,InP / InP / Adachi / rec1,semiconductor,CP,SemiCP,SCP_M5,5.0,0.087436844679493,1.4381535761207682,1.0000000000000018,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/InP_InP_Adachi/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/InP_InP_Adachi/cp_semi_analytical_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.087436844679493,5.0,CP
WSe2,5,WSe2,Gu-5L,tabulated_nk,database,0.3,1.1,WSe2|WSe2|Gu-5L|5,WSe2 / WSe2 / Gu-5L / rec5,chalcogenide_or_2D,RP,RP,RP_M3,3.0,0.0782950697834055,1.8606688689398807,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-5L/RP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/source_all_json/WSe2_WSe2_Gu-5L/rp_all_tidy3d_pole_residue.json,BEST_AVAILABLE_ABOVE_TARGET_0.005,poor_>0.05,False,False,0.0782950697834055,3.0,RP
