material_query,book,page,record_index,material_class,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
Al2O3,Al2O3,Zhukovsky,6,oxide,3,2.073367107307222e-06,5.573128328654745e-06,1.0000000037739183,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Al2O3_Al2O3_Zhukovsky/RP_M3.json,4.897869344963652e-06,SemiCP,1.000000002708644,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Al2O3_Al2O3_Zhukovsky/SCP_M3.json,-0.37333099131078634,RP has lower RMS than CP-family at N=3
As2S3,As2S3,Synowicki,1,chalcogenide_or_2D,4,0.0004783440919222,0.004028925509632,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2S3_As2S3_Synowicki/RP_M4.json,0.0005780803920923,AnalyticalCP,1.0000007022558428,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2S3_As2S3_Synowicki/CP_M4.json,-0.08224782447595018,RP has lower RMS than CP-family at N=4
C,C,Song-cHOPG-o,6,carbon,4,0.0010678661393963,0.009583371729323,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Song-cHOPG-o/RP_M4.json,,none,,,,RP usable
CdTe,CdTe,Adachi,1,semiconductor,5,0.0053066025602807,0.050733016270678,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/CdTe_CdTe_Adachi/RP_M5.json,0.0067960115350755,SemiCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/CdTe_CdTe_Adachi/SCP_M5.json,-0.10743754511742745,RP has lower RMS than CP-family at N=5
Fe2O3,Fe2O3,Querry-o,1,oxide,4,0.0074881926167019,0.0640925234172752,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Fe2O3_Fe2O3_Querry-o/RP_M4.json,0.0079870340025223,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Fe2O3_Fe2O3_Querry-o/CP_M4.json,-0.028008526211223534,RP has lower RMS than CP-family at N=4
GaSb,GaSb,Adachi,1,semiconductor,5,0.0818375942691241,1.9725413078521583,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/GaSb_GaSb_Adachi/RP_M5.json,0.1430097120515094,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/GaSb_GaSb_Adachi/SCP_M5.json,-0.24241267800412322,RP has lower RMS than CP-family at N=5
Ge,Ge,Ciesielski-20nm,2,semiconductor,5,0.0023902260628127,0.0420380238630688,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ge_Ge_Ciesielski-20nm/RP_M5.json,,none,,,,RP usable
MgF2,MgF2,Rodriguez-de Marcos,2,fluoride,3,7.689481863580996e-07,1.5606890345914886e-06,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MgF2_MgF2_Rodriguez-de_Marcos/RP_M3.json,,none,,,,RP usable
MoS2,MoS2,Munkhbat-o,16,chalcogenide_or_2D,5,0.0201807840863301,0.4024675414933611,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Munkhbat-o/RP_M5.json,0.0229825428187305,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Munkhbat-o/CP_M5.json,-0.05646004200043815,RP has lower RMS than CP-family at N=5
MoS2,MoS2,Song-3L,8,chalcogenide_or_2D,3,0.2646500807417614,3.4873812938434465,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-3L/RP_M3.json,,none,,,,RP usable
