threshold_RMS,family,N_max,records_reaching_threshold,total_records,coverage_fraction
0.005,RP,1,26,276,0.09420289855072464
0.005,RP,2,33,276,0.11956521739130435
0.005,RP,3,48,276,0.17391304347826086
0.005,RP,4,65,276,0.23550724637681159
0.005,RP,5,79,276,0.286231884057971
0.005,CP_folded,1,39,276,0.14130434782608695
0.005,CP_folded,2,68,276,0.2463768115942029
0.005,CP_folded,3,114,276,0.41304347826086957
0.005,CP_folded,4,158,276,0.572463768115942
0.005,CP_folded,5,174,276,0.6304347826086957
0.005,Selected_RP_or_CP,1,39,276,0.14130434782608695
0.005,Selected_RP_or_CP,2,68,276,0.2463768115942029
0.005,Selected_RP_or_CP,3,114,276,0.41304347826086957
0.005,Selected_RP_or_CP,4,159,276,0.5760869565217391
0.005,Selected_RP_or_CP,5,176,276,0.6376811594202898
0.01,RP,1,31,276,0.11231884057971014
0.01,RP,2,45,276,0.16304347826086957
0.01,RP,3,66,276,0.2391304347826087
0.01,RP,4,92,276,0.3333333333333333
0.01,RP,5,109,276,0.39492753623188404
0.01,CP_folded,1,47,276,0.17028985507246377
0.01,CP_folded,2,95,276,0.3442028985507246
0.01,CP_folded,3,148,276,0.5362318840579711
0.01,CP_folded,4,182,276,0.6594202898550725
0.01,CP_folded,5,199,276,0.7210144927536232
0.01,Selected_RP_or_CP,1,47,276,0.17028985507246377
0.01,Selected_RP_or_CP,2,96,276,0.34782608695652173
0.01,Selected_RP_or_CP,3,148,276,0.5362318840579711
0.01,Selected_RP_or_CP,4,185,276,0.6702898550724637
0.01,Selected_RP_or_CP,5,201,276,0.7282608695652174
0.02,RP,1,34,276,0.12318840579710146
0.02,RP,2,58,276,0.21014492753623187
0.02,RP,3,82,276,0.2971014492753623
0.02,RP,4,106,276,0.38405797101449274
0.02,RP,5,126,276,0.45652173913043476
0.02,CP_folded,1,50,276,0.18115942028985507
0.02,CP_folded,2,122,276,0.4420289855072464
0.02,CP_folded,3,177,276,0.6413043478260869
0.02,CP_folded,4,212,276,0.7681159420289855
0.02,CP_folded,5,226,276,0.8188405797101449
0.02,Selected_RP_or_CP,1,50,276,0.18115942028985507
0.02,Selected_RP_or_CP,2,128,276,0.463768115942029
0.02,Selected_RP_or_CP,3,182,276,0.6594202898550725
0.02,Selected_RP_or_CP,4,216,276,0.782608695652174
0.02,Selected_RP_or_CP,5,228,276,0.8260869565217391
0.05,RP,1,37,276,0.13405797101449277
0.05,RP,2,66,276,0.2391304347826087
0.05,RP,3,93,276,0.33695652173913043
0.05,RP,4,127,276,0.4601449275362319
0.05,RP,5,154,276,0.5579710144927537
0.05,CP_folded,1,66,276,0.2391304347826087
0.05,CP_folded,2,190,276,0.6884057971014492
0.05,CP_folded,3,226,276,0.8188405797101449
0.05,CP_folded,4,243,276,0.8804347826086957
0.05,CP_folded,5,255,276,0.9239130434782609
0.05,Selected_RP_or_CP,1,66,276,0.2391304347826087
0.05,Selected_RP_or_CP,2,191,276,0.6920289855072463
0.05,Selected_RP_or_CP,3,227,276,0.822463768115942
0.05,Selected_RP_or_CP,4,246,276,0.8913043478260869
0.05,Selected_RP_or_CP,5,259,276,0.9384057971014492
