material_class,material_query,book,page,record_index,N,RP_RMS,RP_G_rho,RP_FDTD_status,RP_FDTD_ready,CP_family_specific_model,CP_family_RMS,CP_family_G_rho,CP_family_model_json,raw_database_points_json,fitting_grid_points_json
TCO_or_semiconducting_oxide,ZnO,ZnO,Aguilar,2,2,0.0029875558114594,1.013475500115342,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0021932249462828,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Aguilar/SCP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Aguilar/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Aguilar/fitting_grid_points.json
TCO_or_semiconducting_oxide,ZnO,ZnO,Aguilar,2,3,0.0030488975762129,1.0122010473851502,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0011037467003376,1.0000000000000042,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Aguilar/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Aguilar/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Aguilar/fitting_grid_points.json
TCO_or_semiconducting_oxide,ZnO,ZnO,Aguilar,2,5,0.0006320219261577,,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,8.561017735094162e-05,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Aguilar/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Aguilar/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Aguilar/fitting_grid_points.json
TCO_or_semiconducting_oxide,ZnO,ZnO,Querry,1,3,0.0315583028970513,1.0015978086829664,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.044675797087864,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Querry/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/ZnO_ZnO_Querry/fitting_grid_points.json
carbon,C,C,Ermolaev,17,1,0.4187244104244936,1.0258959873733464,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.1319888075600654,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Ermolaev/SCP_M1.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Ermolaev/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Ermolaev/fitting_grid_points.json
carbon,C,C,Ermolaev,17,2,0.0351240511063793,1.008156618348994,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0206247163428462,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Ermolaev/SCP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Ermolaev/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Ermolaev/fitting_grid_points.json
carbon,C,C,Ermolaev,17,3,0.0188177703911766,1.0106181207585756,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0069630426967906,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Ermolaev/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Ermolaev/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Ermolaev/fitting_grid_points.json
carbon,C,C,Hagemann,1,2,0.0367272166311214,1.0233311821668971,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0118601297664613,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Hagemann/SCP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Hagemann/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Hagemann/fitting_grid_points.json
carbon,C,C,Hagemann,1,3,0.0215361937389288,1.0059905918840708,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0031972900778046,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Hagemann/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Hagemann/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Hagemann/fitting_grid_points.json
carbon,C,C,Hagemann,1,4,0.0111890455482366,1.0023836797273296,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.002912558361344,1.0000000000000049,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Hagemann/SCP_M4.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Hagemann/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Hagemann/fitting_grid_points.json
