family,N,usable_count,total_record_N,usable_fraction,median_RMS_usable
RP,1,69,276,0.25,0.0450566298829751
RP,2,82,276,0.2971014492753623,0.033602169611086044
RP,3,73,276,0.2644927536231884,0.0150780843604213
RP,4,99,276,0.358695652173913,0.0058546747095519
RP,5,109,276,0.39492753623188404,0.0067347547390942
CP,1,195,276,0.7065217391304348,0.1523856755057128
CP,2,206,276,0.7463768115942029,0.0303674807573392
CP,3,198,276,0.717391304347826,0.015109943108857951
CP,4,193,276,0.6992753623188406,0.0085446909268754
CP,5,206,276,0.7463768115942029,0.00527537227386175
SCP,1,210,276,0.7608695652173914,0.13247751189977586
SCP,2,230,276,0.8333333333333334,0.020683142888038
SCP,3,221,276,0.8007246376811594,0.0057467800642181
SCP,4,221,276,0.8007246376811594,0.00246245426554
SCP,5,221,276,0.8007246376811594,0.0015455416851914
