N,records,family,threshold_RMS
1,26,RP,0.005
2,7,RP,0.005
3,15,RP,0.005
4,17,RP,0.005
5,14,RP,0.005
1,31,RP,0.01
2,14,RP,0.01
3,21,RP,0.01
4,26,RP,0.01
5,17,RP,0.01
1,39,CP_folded,0.005
2,29,CP_folded,0.005
3,46,CP_folded,0.005
4,44,CP_folded,0.005
5,16,CP_folded,0.005
1,47,CP_folded,0.01
2,48,CP_folded,0.01
3,53,CP_folded,0.01
4,34,CP_folded,0.01
5,17,CP_folded,0.01
1,39,Selected_RP_or_CP,0.005
2,29,Selected_RP_or_CP,0.005
3,46,Selected_RP_or_CP,0.005
4,45,Selected_RP_or_CP,0.005
5,17,Selected_RP_or_CP,0.005
1,47,Selected_RP_or_CP,0.01
2,49,Selected_RP_or_CP,0.01
3,52,Selected_RP_or_CP,0.01
4,37,Selected_RP_or_CP,0.01
5,16,Selected_RP_or_CP,0.01
