material_class,final_family,final_specific_model,records,median_final_RMS,mean_final_RMS,primary_target_fraction,secondary_target_fraction,records_in_class,fraction_within_class
TCO_or_semiconducting_oxide,CP,SemiCP,2,0.0234345110170734,0.0234345110170734,0.5,0.5,2,1.0
carbon,CP,SemiCP,19,0.0027421123884377,0.0032431573515741834,0.8947368421052632,0.9473684210526315,21,0.9047619047619048
carbon,RP,RP,1,0.0010678661393963,0.0010678661393963,1.0,1.0,21,0.047619047619047616
carbon,none,,1,,,0.0,0.0,21,0.047619047619047616
chalcogenide_or_2D,CP,AnalyticalCP,15,0.0123011906623464,0.02501419327887675,0.26666666666666666,0.4666666666666667,43,0.3488372093023256
chalcogenide_or_2D,CP,SemiCP,21,0.0087319200417365,0.041651909462691185,0.3333333333333333,0.5238095238095238,43,0.4883720930232558
chalcogenide_or_2D,RP,RP,6,0.03163521704918695,0.05435867206615245,0.0,0.0,43,0.13953488372093023
chalcogenide_or_2D,none,,1,,,0.0,0.0,43,0.023255813953488372
fluoride,CP,AnalyticalCP,1,3.411593581790129e-05,3.411593581790129e-05,1.0,1.0,3,0.3333333333333333
fluoride,CP,SemiCP,2,0.00099480319846045,0.00099480319846045,1.0,1.0,3,0.6666666666666666
high_k_oxide,CP,AnalyticalCP,9,0.0015852489349911,0.002262842399952336,1.0,1.0,23,0.391304347826087
high_k_oxide,CP,SemiCP,14,0.00130402174903195,0.0017120638392823784,1.0,1.0,23,0.6086956521739131
lossy_transition_metal_oxide,CP,AnalyticalCP,1,0.0058595989923419,0.0058595989923419,0.0,1.0,14,0.07142857142857142
lossy_transition_metal_oxide,CP,SemiCP,13,0.0034134816639971,0.003287405183988177,1.0,1.0,14,0.9285714285714286
metal,CP,AnalyticalCP,3,0.0276491722584691,0.0272861060296377,0.0,0.0,103,0.02912621359223301
metal,CP,SemiCP,100,0.00406467832107145,0.00987314173194395,0.55,0.68,103,0.970873786407767
nitride_or_carbide,CP,AnalyticalCP,1,0.0036393353557687,0.0036393353557687,1.0,1.0,12,0.08333333333333333
nitride_or_carbide,CP,SemiCP,11,0.0015399114165572,0.004502772420331918,0.8181818181818182,0.8181818181818182,12,0.9166666666666666
semiconductor,CP,AnalyticalCP,14,0.0042440016302382,0.02875308265778471,0.5714285714285714,0.6428571428571429,40,0.35
semiconductor,CP,SemiCP,22,0.0040556025854765,0.018458026947377724,0.7272727272727273,0.7727272727272727,40,0.55
semiconductor,RP,RP,4,0.0030866014885574,0.0031933922033711,0.75,1.0,40,0.1
transparent_dielectric_oxide,CP,AnalyticalCP,3,0.0004537897336495,0.0005092807760520667,1.0,1.0,15,0.2
transparent_dielectric_oxide,CP,SemiCP,12,0.0006461901533969,0.0010447393174306222,1.0,1.0,15,0.8
