material_query,material_class
ZnO,TCO_or_semiconducting_oxide
C,carbon
As2S3,chalcogenide_or_2D
As2Se3,chalcogenide_or_2D
GeS2,chalcogenide_or_2D
MoS2,chalcogenide_or_2D
MoSe2,chalcogenide_or_2D
WS2,chalcogenide_or_2D
WSe2,chalcogenide_or_2D
BaF2,fluoride
MgF2,fluoride
HfO2,high_k_oxide
Nb2O5,high_k_oxide
Ta2O5,high_k_oxide
TiO2,high_k_oxide
ZrO2,high_k_oxide
Fe2O3,lossy_transition_metal_oxide
Fe3O4,lossy_transition_metal_oxide
MoO3,lossy_transition_metal_oxide
VO2,lossy_transition_metal_oxide
Ag,metal
Al,metal
Au,metal
Co,metal
Cr,metal
Cu,metal
Fe,metal
Mo,metal
Ni,metal
Pd,metal
Pt,metal
Ta,metal
Ti,metal
V,metal
W,metal
AlN,nitride_or_carbide
Si3N4,nitride_or_carbide
SiC,nitride_or_carbide
TiN,nitride_or_carbide
AlAs,semiconductor
CdTe,semiconductor
GaAs,semiconductor
GaP,semiconductor
GaSb,semiconductor
Ge,semiconductor
InAs,semiconductor
InP,semiconductor
InSb,semiconductor
Si,semiconductor
ZnS,semiconductor
Al2O3,transparent_dielectric_oxide
MgO,transparent_dielectric_oxide
Sc2O3,transparent_dielectric_oxide
SiO2,transparent_dielectric_oxide
