material_class,N,family,usable_count,total_record_N_in_class,usable_fraction,median_RMS_usable
TCO_or_semiconducting_oxide,1,RP,2,2,1.0,0.046423538092870295
TCO_or_semiconducting_oxide,1,CP,2,2,1.0,0.039432777145341
TCO_or_semiconducting_oxide,1,SCP,2,2,1.0,0.0432004231410323
TCO_or_semiconducting_oxide,2,RP,1,2,0.5,0.0538236022915536
TCO_or_semiconducting_oxide,2,CP,1,2,0.5,0.006352017777369
TCO_or_semiconducting_oxide,2,SCP,2,2,1.0,0.03033926798750705
TCO_or_semiconducting_oxide,3,RP,0,2,0.0,
TCO_or_semiconducting_oxide,3,CP,1,2,0.5,0.0011688251742572
TCO_or_semiconducting_oxide,3,SCP,2,2,1.0,0.0228897718941008
TCO_or_semiconducting_oxide,4,RP,1,2,0.5,0.0014057976407969
TCO_or_semiconducting_oxide,4,CP,1,2,0.5,0.0004735927720463
TCO_or_semiconducting_oxide,4,SCP,1,2,0.5,0.0002512344427482
TCO_or_semiconducting_oxide,5,RP,0,2,0.0,
TCO_or_semiconducting_oxide,5,CP,1,2,0.5,0.0003410768401944
TCO_or_semiconducting_oxide,5,SCP,1,2,0.5,8.561017735094162e-05
carbon,1,RP,9,21,0.42857142857142855,0.073423616514492
carbon,1,CP,20,21,0.9523809523809523,0.10886352895175365
carbon,1,SCP,20,21,0.9523809523809523,0.10710483896135706
carbon,2,RP,8,21,0.38095238095238093,0.021097036131234148
carbon,2,CP,18,21,0.8571428571428571,0.0086489793062762
carbon,2,SCP,18,21,0.8571428571428571,0.0087170087292139
carbon,3,RP,9,21,0.42857142857142855,0.0064057902048664
carbon,3,CP,15,21,0.7142857142857143,0.005114699871239
carbon,3,SCP,16,21,0.7619047619047619,0.00272510533360515
carbon,4,RP,9,21,0.42857142857142855,0.0021408125088755
carbon,4,CP,14,21,0.6666666666666666,0.00503014758618125
carbon,4,SCP,16,21,0.7619047619047619,0.00170823480846235
carbon,5,RP,10,21,0.47619047619047616,0.00163879778961205
carbon,5,CP,13,21,0.6190476190476191,0.0037419255751603
carbon,5,SCP,15,21,0.7142857142857143,0.0012816037128121
chalcogenide_or_2D,1,RP,11,43,0.2558139534883721,0.1579469346817161
chalcogenide_or_2D,1,CP,31,43,0.7209302325581395,0.1433899981131341
chalcogenide_or_2D,1,SCP,35,43,0.813953488372093,0.1346950599001803
chalcogenide_or_2D,2,RP,8,43,0.18604651162790697,0.0787043534222163
chalcogenide_or_2D,2,CP,26,43,0.6046511627906976,0.07352829921179994
chalcogenide_or_2D,2,SCP,29,43,0.6744186046511628,0.1196390744725697
chalcogenide_or_2D,3,RP,9,43,0.20930232558139536,0.0782950697834055
chalcogenide_or_2D,3,CP,28,43,0.6511627906976745,0.06242536410341575
chalcogenide_or_2D,3,SCP,24,43,0.5581395348837209,0.02223993891362295
chalcogenide_or_2D,4,RP,14,43,0.32558139534883723,0.03650795163611065
chalcogenide_or_2D,4,CP,29,43,0.6744186046511628,0.0352396096589119
chalcogenide_or_2D,4,SCP,26,43,0.6046511627906976,0.016252904268403902
chalcogenide_or_2D,5,RP,19,43,0.4418604651162791,0.0142283983482709
chalcogenide_or_2D,5,CP,30,43,0.6976744186046512,0.0218390601355323
