material_class,threshold_RMS,N_max,family,records_reached,total_records_in_class,coverage_fraction
TCO_or_semiconducting_oxide,0.005,1,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,1,CP_folded,0,2,0.0
TCO_or_semiconducting_oxide,0.005,1,Selected_RP_or_CP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,2,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,2,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,2,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,3,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.005,3,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,3,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,4,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,4,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,4,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,5,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.005,5,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.005,5,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,1,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,1,CP_folded,0,2,0.0
TCO_or_semiconducting_oxide,0.01,1,Selected_RP_or_CP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,2,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,2,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,2,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,3,RP,0,2,0.0
TCO_or_semiconducting_oxide,0.01,3,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,3,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,4,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,4,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,4,Selected_RP_or_CP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,5,RP,1,2,0.5
TCO_or_semiconducting_oxide,0.01,5,CP_folded,1,2,0.5
TCO_or_semiconducting_oxide,0.01,5,Selected_RP_or_CP,1,2,0.5
carbon,0.005,1,RP,2,21,0.09523809523809523
carbon,0.005,1,CP_folded,4,21,0.19047619047619047
carbon,0.005,1,Selected_RP_or_CP,4,21,0.19047619047619047
carbon,0.005,2,RP,4,21,0.19047619047619047
carbon,0.005,2,CP_folded,7,21,0.3333333333333333
carbon,0.005,2,Selected_RP_or_CP,7,21,0.3333333333333333
carbon,0.005,3,RP,6,21,0.2857142857142857
carbon,0.005,3,CP_folded,15,21,0.7142857142857143
carbon,0.005,3,Selected_RP_or_CP,15,21,0.7142857142857143
carbon,0.005,4,RP,9,21,0.42857142857142855
carbon,0.005,4,CP_folded,17,21,0.8095238095238095
carbon,0.005,4,Selected_RP_or_CP,18,21,0.8571428571428571
carbon,0.005,5,RP,11,21,0.5238095238095238
carbon,0.005,5,CP_folded,17,21,0.8095238095238095
carbon,0.005,5,Selected_RP_or_CP,18,21,0.8571428571428571
carbon,0.01,1,RP,3,21,0.14285714285714285
carbon,0.01,1,CP_folded,5,21,0.23809523809523808
carbon,0.01,1,Selected_RP_or_CP,5,21,0.23809523809523808
carbon,0.01,2,RP,7,21,0.3333333333333333
carbon,0.01,2,CP_folded,12,21,0.5714285714285714
carbon,0.01,2,Selected_RP_or_CP,12,21,0.5714285714285714
carbon,0.01,3,RP,9,21,0.42857142857142855
carbon,0.01,3,CP_folded,17,21,0.8095238095238095
carbon,0.01,3,Selected_RP_or_CP,17,21,0.8095238095238095
carbon,0.01,4,RP,12,21,0.5714285714285714
carbon,0.01,4,CP_folded,18,21,0.8571428571428571
carbon,0.01,4,Selected_RP_or_CP,19,21,0.9047619047619048
carbon,0.01,5,RP,14,21,0.6666666666666666
carbon,0.01,5,CP_folded,18,21,0.8571428571428571
carbon,0.01,5,Selected_RP_or_CP,19,21,0.9047619047619048
chalcogenide_or_2D,0.005,1,RP,1,43,0.023255813953488372
chalcogenide_or_2D,0.005,1,CP_folded,2,43,0.046511627906976744
chalcogenide_or_2D,0.005,1,Selected_RP_or_CP,2,43,0.046511627906976744
chalcogenide_or_2D,0.005,2,RP,1,43,0.023255813953488372
chalcogenide_or_2D,0.005,2,CP_folded,4,43,0.09302325581395349
chalcogenide_or_2D,0.005,2,Selected_RP_or_CP,4,43,0.09302325581395349
chalcogenide_or_2D,0.005,3,RP,2,43,0.046511627906976744
chalcogenide_or_2D,0.005,3,CP_folded,8,43,0.18604651162790697
chalcogenide_or_2D,0.005,3,Selected_RP_or_CP,8,43,0.18604651162790697
chalcogenide_or_2D,0.005,4,RP,3,43,0.06976744186046512
chalcogenide_or_2D,0.005,4,CP_folded,9,43,0.20930232558139536
chalcogenide_or_2D,0.005,4,Selected_RP_or_CP,9,43,0.20930232558139536
chalcogenide_or_2D,0.005,5,RP,5,43,0.11627906976744186
chalcogenide_or_2D,0.005,5,CP_folded,11,43,0.2558139534883721
chalcogenide_or_2D,0.005,5,Selected_RP_or_CP,11,43,0.2558139534883721
chalcogenide_or_2D,0.01,1,RP,3,43,0.06976744186046512
chalcogenide_or_2D,0.01,1,CP_folded,5,43,0.11627906976744186
chalcogenide_or_2D,0.01,1,Selected_RP_or_CP,5,43,0.11627906976744186
chalcogenide_or_2D,0.01,2,RP,5,43,0.11627906976744186
chalcogenide_or_2D,0.01,2,CP_folded,8,43,0.18604651162790697
chalcogenide_or_2D,0.01,2,Selected_RP_or_CP,8,43,0.18604651162790697
chalcogenide_or_2D,0.01,3,RP,7,43,0.16279069767441862
chalcogenide_or_2D,0.01,3,CP_folded,13,43,0.3023255813953488
chalcogenide_or_2D,0.01,3,Selected_RP_or_CP,13,43,0.3023255813953488
chalcogenide_or_2D,0.01,4,RP,8,43,0.18604651162790697
chalcogenide_or_2D,0.01,4,CP_folded,14,43,0.32558139534883723
chalcogenide_or_2D,0.01,4,Selected_RP_or_CP,14,43,0.32558139534883723
chalcogenide_or_2D,0.01,5,RP,11,43,0.2558139534883721
chalcogenide_or_2D,0.01,5,CP_folded,18,43,0.4186046511627907
chalcogenide_or_2D,0.01,5,Selected_RP_or_CP,18,43,0.4186046511627907
fluoride,0.005,1,RP,2,3,0.6666666666666666
fluoride,0.005,1,CP_folded,3,3,1.0
fluoride,0.005,1,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,2,RP,2,3,0.6666666666666666
fluoride,0.005,2,CP_folded,3,3,1.0
fluoride,0.005,2,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,3,RP,2,3,0.6666666666666666
fluoride,0.005,3,CP_folded,3,3,1.0
fluoride,0.005,3,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,4,RP,2,3,0.6666666666666666
fluoride,0.005,4,CP_folded,3,3,1.0
fluoride,0.005,4,Selected_RP_or_CP,3,3,1.0
fluoride,0.005,5,RP,2,3,0.6666666666666666
fluoride,0.005,5,CP_folded,3,3,1.0
fluoride,0.005,5,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,1,RP,2,3,0.6666666666666666
fluoride,0.01,1,CP_folded,3,3,1.0
fluoride,0.01,1,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,2,RP,2,3,0.6666666666666666
fluoride,0.01,2,CP_folded,3,3,1.0
fluoride,0.01,2,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,3,RP,2,3,0.6666666666666666
fluoride,0.01,3,CP_folded,3,3,1.0
fluoride,0.01,3,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,4,RP,3,3,1.0
fluoride,0.01,4,CP_folded,3,3,1.0
fluoride,0.01,4,Selected_RP_or_CP,3,3,1.0
fluoride,0.01,5,RP,3,3,1.0
fluoride,0.01,5,CP_folded,3,3,1.0
fluoride,0.01,5,Selected_RP_or_CP,3,3,1.0
high_k_oxide,0.005,1,RP,9,23,0.391304347826087
high_k_oxide,0.005,1,CP_folded,15,23,0.6521739130434783
high_k_oxide,0.005,1,Selected_RP_or_CP,15,23,0.6521739130434783
high_k_oxide,0.005,2,RP,12,23,0.5217391304347826
high_k_oxide,0.005,2,CP_folded,21,23,0.9130434782608695
high_k_oxide,0.005,2,Selected_RP_or_CP,21,23,0.9130434782608695
high_k_oxide,0.005,3,RP,16,23,0.6956521739130435
high_k_oxide,0.005,3,CP_folded,22,23,0.9565217391304348
high_k_oxide,0.005,3,Selected_RP_or_CP,22,23,0.9565217391304348
high_k_oxide,0.005,4,RP,21,23,0.9130434782608695
high_k_oxide,0.005,4,CP_folded,23,23,1.0
high_k_oxide,0.005,4,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.005,5,RP,21,23,0.9130434782608695
high_k_oxide,0.005,5,CP_folded,23,23,1.0
high_k_oxide,0.005,5,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,1,RP,11,23,0.4782608695652174
high_k_oxide,0.01,1,CP_folded,17,23,0.7391304347826086
high_k_oxide,0.01,1,Selected_RP_or_CP,17,23,0.7391304347826086
high_k_oxide,0.01,2,RP,16,23,0.6956521739130435
high_k_oxide,0.01,2,CP_folded,23,23,1.0
high_k_oxide,0.01,2,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,3,RP,20,23,0.8695652173913043
high_k_oxide,0.01,3,CP_folded,23,23,1.0
high_k_oxide,0.01,3,Selected_RP_or_CP,23,23,1.0
high_k_oxide,0.01,4,RP,23,23,1.0
