material_class,material_query,book,page,record_index,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
TCO_or_semiconducting_oxide,ZnO,ZnO,Querry,1,1,0.0477904463027655,0.1166799393691674,1.0000007263274866,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/RP_M1.json,0.0497122413227575,AnalyticalCP,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/CP_M1.json,-0.01712225784720235,both_usable_RP_lower_RMS
TCO_or_semiconducting_oxide,ZnO,ZnO,Querry,1,2,0.0538236022915536,0.1325967454406731,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/RP_M2.json,0.0584853110287313,SemiCP,1.0000005654590134,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M2.json,-0.03607404311189836,both_usable_RP_lower_RMS
carbon,C,C,Song-cHOPG-o,6,4,0.0010678661393963,0.009583371729323,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Song-cHOPG-o/RP_M4.json,,,,,,RP_usable_CP_unusable
chalcogenide_or_2D,As2S3,As2S3,Synowicki,1,4,0.0004783440919222,0.004028925509632,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2S3_As2S3_Synowicki/RP_M4.json,0.0005780803920923,AnalyticalCP,1.0000007022558428,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2S3_As2S3_Synowicki/CP_M4.json,-0.08224782447595018,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoS2,MoS2,Munkhbat-o,16,5,0.0201807840863301,0.4024675414933611,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Munkhbat-o/RP_M5.json,0.0229825428187305,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Munkhbat-o/CP_M5.json,-0.05646004200043815,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoS2,MoS2,Song-3L,8,3,0.2646500807417614,3.4873812938434465,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-3L/RP_M3.json,,,,,,RP_usable_CP_unusable
chalcogenide_or_2D,MoS2,MoS2,Song-6L,10,3,0.0902638451250131,2.136876450289113,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M3.json,0.1034327885896542,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/SCP_M3.json,-0.05914440362526518,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoS2,MoS2,Song-6L,10,5,0.0295636837214278,0.5788570443869854,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M5.json,0.0378114317072632,AnalyticalCP,1.0000000000000022,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/CP_M5.json,-0.10686457451819162,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoSe2,MoSe2,Beal,1,2,0.1002727360196985,1.701853735859739,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Beal/RP_M2.json,0.1009102671182344,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Beal/CP_M2.json,-0.0027524906241566923,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoSe2,MoSe2,Munkhbat-o,3,3,0.0565051811989484,1.4234298271440475,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M3.json,0.1034344838399571,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/CP_M3.json,-0.2625770796269181,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoSe2,MoSe2,Munkhbat-o,3,4,0.0551152268279925,1.3951110287687307,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M4.json,0.083142344933204,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/CP_M4.json,-0.17855067001169903,both_usable_RP_lower_RMS
chalcogenide_or_2D,MoSe2,MoSe2,Munkhbat-o,3,5,0.020726083668809,0.5039483455486249,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M5.json,,,,,,RP_usable_CP_unusable
chalcogenide_or_2D,WSe2,WSe2,Gu-1L,1,3,0.1436796607599962,2.9662950702579414,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-1L/RP_M3.json,,,,,,RP_usable_CP_unusable
chalcogenide_or_2D,WSe2,WSe2,Gu-2L,2,4,0.0539145373110866,1.1441498534773338,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M4.json,0.1164450910326511,AnalyticalCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/CP_M4.json,-0.33441530224354754,both_usable_RP_lower_RMS
chalcogenide_or_2D,WSe2,WSe2,Gu-2L,2,5,0.0337067503769461,0.5775935932217946,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M5.json,0.1128503279853755,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/CP_M5.json,-0.5247859408535274,both_usable_RP_lower_RMS
