material_class,material_query,book,page,record_index,N,unusable_family,unusable_RMS,unusable_G_rho,unusable_FDTD_status,selected_family,selected_specific_model,selected_RMS,RMS_ratio_selected_over_unusable
TCO_or_semiconducting_oxide,ZnO,ZnO,Querry,1,3,RP,0.0315583028970513,1.0015978086829664,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.044675797087864,1.4156590496518224
chalcogenide_or_2D,GeS2,GeS2,Slavich-beta,2,1,RP,0.030971625135747,1.0000024521313595,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1261280951636038,4.07237575073284
chalcogenide_or_2D,MoS2,MoS2,Ullberg,13,5,RP,0.0199051660022356,1.0000310806636084,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0769319622276096,3.8649244230854034
chalcogenide_or_2D,GeS2,GeS2,Slavich-alpha,1,1,RP,0.0332154328176899,1.000002705581605,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1205610916524331,3.6296709518782664
chalcogenide_or_2D,WSe2,WSe2,Gu-3L,3,5,RP,0.0271025866326137,1.0609911073350309,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.096336067383983,3.5544971662615295
chalcogenide_or_2D,GeS2,GeS2,Slavich-alpha,1,4,RP,0.0001201710948117,1.2053701129158567,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0004082257320244,3.3970376375788387
chalcogenide_or_2D,MoSe2,MoSe2,Pruszynska-Karbownik-o,2,4,RP,0.0381466108964145,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1104945418912556,2.896575588098739
chalcogenide_or_2D,WSe2,WSe2,Gu-3L,3,4,RP,0.0410032190057174,1.077229604367257,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1048399519726962,2.5568712534027522
chalcogenide_or_2D,WSe2,WSe2,Gu-5L,5,4,RP,0.041581631372966,1.0881310838408942,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1056330295739016,2.5403772311487076
chalcogenide_or_2D,WSe2,WSe2,Gu-4L,4,4,RP,0.0438813765066076,1.0922749038403066,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1013687835578784,2.3100638956167296
chalcogenide_or_2D,MoS2,MoS2,Munkhbat-e,17,2,RP,1.8286285097016922e-07,1.0005393962674791,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,4.166077447984863e-07,2.27825248588325
chalcogenide_or_2D,WS2,WS2,Munkhbat-o,1,4,RP,0.0490740804629759,1.0000429811281082,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1033443042842927,2.1058836621964043
chalcogenide_or_2D,WSe2,WSe2,Munkhbat-o,6,3,RP,0.0489797889798994,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1019659146312596,2.0817957111474072
chalcogenide_or_2D,WS2,WS2,Munkhbat-o,1,1,RP,0.2704180017277119,1.000024951192957,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.505074302294016,1.8677539922160327
chalcogenide_or_2D,GeS2,GeS2,Slavich-abinitio-beta,4,1,RP,0.0448834743502678,1.0000142864700796,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0818355488095434,1.8232890834364546
chalcogenide_or_2D,MoSe2,MoSe2,Beal,1,3,RP,0.0560214254026398,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1007464368511757,1.7983554707343878
chalcogenide_or_2D,As2S3,As2S3,Synowicki,1,1,RP,0.1053363968630064,1.0000301625435075,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1876009184218952,1.7809695794500795
chalcogenide_or_2D,MoSe2,MoSe2,Munkhbat-o,3,2,RP,0.0789385366673687,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1381322424221878,1.7498708267705747
chalcogenide_or_2D,MoS2,MoS2,Munkhbat-o,16,4,RP,0.0578607287329073,1.0000562941825757,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0989952821140817,1.7109235276150236
chalcogenide_or_2D,MoSe2,MoSe2,Pruszynska-Karbownik-o,2,3,RP,0.0476978326354038,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0790722705190947,1.6577749165986877
chalcogenide_or_2D,WSe2,WSe2,Munkhbat-o,6,2,RP,0.0716075415411657,1.0001957585885943,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1128042267223339,1.5753121011351165
chalcogenide_or_2D,MoS2,MoS2,Song-6L,10,4,RP,0.0590948888739854,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0930328585800726,1.5742961929999886
chalcogenide_or_2D,MoSe2,MoSe2,Pruszynska-Karbownik-e,4,5,RP,0.0001982552246909,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0003112281118214,1.5698356111756258
chalcogenide_or_2D,MoSe2,MoSe2,Beal,1,4,RP,0.0417505168283357,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0610390438104799,1.4619949271874222
chalcogenide_or_2D,GeS2,GeS2,Slavich-beta,2,4,RP,0.0001345359080052,1.1086873713417742,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0001947687857257,1.4477085605886861
chalcogenide_or_2D,MoSe2,MoSe2,Pruszynska-Karbownik-o,2,2,RP,0.0637776882248728,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0894978381243254,1.4032781779227603
chalcogenide_or_2D,MoS2,MoS2,Ermolaev-o,15,2,RP,0.2576999716420127,1.0000459161041375,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3220490862141035,1.249705555503445
chalcogenide_or_2D,MoSe2,MoSe2,Pruszynska-Karbownik-e,4,4,RP,0.000249100553428,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,AnalyticalCP,0.0003112281492167,1.249407698753497
