record_key,material,record,selected_N,selected_family,selected_model,FDTD_status,has_raw_experiment,has_fitting_grid,has_model_curve,n_raw_paths_in_record,n_fit_grid_paths_in_record,n_curve_paths_in_record,n_fallback_curve_files,fallback_curve_files
Ag_Ag_Babar,Ag,Babar,,,,,True,True,True,1,1,18,18,data/model_curves/Ag_Ag_Babar/CP_M1.json;data/model_curves/Ag_Ag_Babar/CP_M1_A.json;data/model_curves/Ag_Ag_Babar/CP_M1_B.json;data/model_curves/Ag_Ag_Babar/CP_M2.json;data/model_curves/Ag_Ag_Babar/CP_M2_A.json;data/model_curves/Ag_Ag_Babar/CP_M2_B.json;data/model_curves/Ag_Ag_Babar/CP_M3.json;data/model_curves/Ag_Ag_Babar/CP_M3_A.json;data/model_curves/Ag_Ag_Babar/CP_M3_B.json;data/model_curves/Ag_Ag_Babar/CP_M4.json;data/model_curves/Ag_Ag_Babar/CP_M4_A.json;data/model_curves/Ag_Ag_Babar/CP_M4_B.json;data/model_curves/Ag_Ag_Babar/CP_M5.json;data/model_curves/Ag_Ag_Babar/CP_M5_A.json;data/model_curves/Ag_Ag_Babar/CP_M5_B.json;data/model_curves/Ag_Ag_Babar/RP_M2.json;data/model_curves/Ag_Ag_Babar/RP_M4.json;data/model_curves/Ag_Ag_Babar/RP_M5.json
Ag_Ag_Ciesielski-Ge,Ag,Ciesielski-Ge,,,,,True,True,True,1,1,16,16,data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M1.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M1_A.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M1_B.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M2.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M2_A.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M2_B.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M3.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M3_A.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M3_B.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M4.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M4_A.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M4_B.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M5.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M5_A.json;data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M5_B.json;data/model_curves/Ag_Ag_Ciesielski-Ge/RP_M1.json
Ag_Ag_Ciesielski-Ni,Ag,Ciesielski-Ni,,,,,True,True,True,1,1,17,17,data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M1.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M1_A.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M1_B.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M2.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M2_A.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M2_B.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M3.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M3_A.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M3_B.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M4.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M4_A.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M4_B.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M5.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M5_A.json;data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M5_B.json;data/model_curves/Ag_Ag_Ciesielski-Ni/RP_M2.json;data/model_curves/Ag_Ag_Ciesielski-Ni/RP_M4.json
Ag_Ag_Ciesielski,Ag,Ciesielski,,,,,True,True,False,1,1,0,0,
Ag_Ag_Ferrera-298K,Ag,Ferrera-298K,,,,,True,True,True,1,1,18,18,data/model_curves/Ag_Ag_Ferrera-298K/CP_M1.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M1_A.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M1_B.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M2.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M2_A.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M2_B.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M3.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M3_A.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M3_B.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M4.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M4_A.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M4_B.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M5.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M5_A.json;data/model_curves/Ag_Ag_Ferrera-298K/CP_M5_B.json;data/model_curves/Ag_Ag_Ferrera-298K/RP_M1.json;data/model_curves/Ag_Ag_Ferrera-298K/RP_M2.json;data/model_curves/Ag_Ag_Ferrera-298K/RP_M5.json
Ag_Ag_Ferrera-404K,Ag,Ferrera-404K,,,,,True,True,True,1,1,15,15,data/model_curves/Ag_Ag_Ferrera-404K/CP_M1.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M1_A.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M1_B.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M2.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M2_A.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M2_B.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M3.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M3_A.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M3_B.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M4.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M4_A.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M4_B.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M5.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M5_A.json;data/model_curves/Ag_Ag_Ferrera-404K/CP_M5_B.json
Ag_Ag_Ferrera-501K,Ag,Ferrera-501K,,,,,True,True,True,1,1,14,14,data/model_curves/Ag_Ag_Ferrera-501K/CP_M1.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M1_A.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M1_B.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M2.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M2_A.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M2_B.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M3.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M3_A.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M4.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M4_A.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M4_B.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M5.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M5_A.json;data/model_curves/Ag_Ag_Ferrera-501K/CP_M5_B.json
Ag_Ag_Ferrera-600K,Ag,Ferrera-600K,,,,,True,True,True,1,1,17,17,data/model_curves/Ag_Ag_Ferrera-600K/CP_M1.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M1_A.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M1_B.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M2.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M2_A.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M2_B.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M3.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M3_A.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M3_B.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M4.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M4_A.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M4_B.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M5.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M5_A.json;data/model_curves/Ag_Ag_Ferrera-600K/CP_M5_B.json;data/model_curves/Ag_Ag_Ferrera-600K/RP_M3.json;data/model_curves/Ag_Ag_Ferrera-600K/RP_M4.json
Ag_Ag_Hagemann,Ag,Hagemann,,,,,True,True,False,1,1,0,0,
Ag_Ag_Jiang,Ag,Jiang,,,,,True,True,True,1,1,17,17,data/model_curves/Ag_Ag_Jiang/CP_M1.json;data/model_curves/Ag_Ag_Jiang/CP_M1_A.json;data/model_curves/Ag_Ag_Jiang/CP_M1_B.json;data/model_curves/Ag_Ag_Jiang/CP_M2.json;data/model_curves/Ag_Ag_Jiang/CP_M2_A.json;data/model_curves/Ag_Ag_Jiang/CP_M2_B.json;data/model_curves/Ag_Ag_Jiang/CP_M3.json;data/model_curves/Ag_Ag_Jiang/CP_M3_A.json;data/model_curves/Ag_Ag_Jiang/CP_M3_B.json;data/model_curves/Ag_Ag_Jiang/CP_M4.json;data/model_curves/Ag_Ag_Jiang/CP_M4_A.json;data/model_curves/Ag_Ag_Jiang/CP_M4_B.json;data/model_curves/Ag_Ag_Jiang/CP_M5.json;data/model_curves/Ag_Ag_Jiang/CP_M5_A.json;data/model_curves/Ag_Ag_Jiang/CP_M5_B.json;data/model_curves/Ag_Ag_Jiang/RP_M2.json;data/model_curves/Ag_Ag_Jiang/RP_M3.json
