material,book,page,record_tag,raw_database_points_json,raw_database_nk_csv,raw_database_full_points_json,raw_database_full_nk_csv,raw_database_overlap_points_json,raw_database_overlap_nk_csv,fitting_grid_points_json,record_key,record_label,material_class,record_folder
Ag,Ag,Babar,Ag_Ag_Babar,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Babar/fitting_grid_points.json,Ag_Ag_Babar,,,
Ag,Ag,Ciesielski,Ag_Ag_Ciesielski,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski/fitting_grid_points.json,Ag_Ag_Ciesielski,,,
Ag,Ag,Ciesielski-Ge,Ag_Ag_Ciesielski-Ge,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ge/fitting_grid_points.json,Ag_Ag_Ciesielski-Ge,,,
Ag,Ag,Ciesielski-Ni,Ag_Ag_Ciesielski-Ni,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ciesielski-Ni/fitting_grid_points.json,Ag_Ag_Ciesielski-Ni,,,
Ag,Ag,Ferrera-298K,Ag_Ag_Ferrera-298K,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-298K/fitting_grid_points.json,Ag_Ag_Ferrera-298K,,,
Ag,Ag,Ferrera-404K,Ag_Ag_Ferrera-404K,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-404K/fitting_grid_points.json,Ag_Ag_Ferrera-404K,,,
Ag,Ag,Ferrera-501K,Ag_Ag_Ferrera-501K,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-501K/fitting_grid_points.json,Ag_Ag_Ferrera-501K,,,
Ag,Ag,Ferrera-600K,Ag_Ag_Ferrera-600K,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Ferrera-600K/fitting_grid_points.json,Ag_Ag_Ferrera-600K,,,
Ag,Ag,Hagemann,Ag_Ag_Hagemann,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Hagemann/fitting_grid_points.json,Ag_Ag_Hagemann,,,
Ag,Ag,Jiang,Ag_Ag_Jiang,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_full_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_full_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_overlap_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/raw_database_overlap_nk.csv,batch_database_RI_to_FDTDready_RP_CP_SCP_v23_VISNIR_overlap_raw_exp_N1_to_N5_1nm_52cpu/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/Ag_Ag_Jiang/fitting_grid_points.json,Ag_Ag_Jiang,,,
