old_record_key,new_record_key,status,match_rule,n_matches,all_matches,old_candidates
Ag_Ag_Babar,VISNIR_ANY_Ag_Babar_0.3_1.1um,UNIQUE,middle_exact:Ag_Babar,1,VISNIR_ANY_Ag_Babar_0.3_1.1um,Ag_Ag_Babar;Ag_Babar
Ag_Ag_Ciesielski,VISNIR_ANY_Ag_Ciesielski_0.3_1.1um,UNIQUE,middle_exact:Ag_Ciesielski,1,VISNIR_ANY_Ag_Ciesielski_0.3_1.1um,Ag_Ag_Ciesielski;Ag_Ciesielski
Ag_Ag_Ciesielski-Ge,VISNIR_ANY_Ag_Ciesielski-Ge_0.3_1.1um,UNIQUE,middle_exact:Ag_Ciesielski-Ge,1,VISNIR_ANY_Ag_Ciesielski-Ge_0.3_1.1um,Ag_Ag_Ciesielski-Ge;Ag_Ciesielski-Ge
Ag_Ag_Ciesielski-Ni,VISNIR_ANY_Ag_Ciesielski-Ni_0.3_1.1um,UNIQUE,middle_exact:Ag_Ciesielski-Ni,1,VISNIR_ANY_Ag_Ciesielski-Ni_0.3_1.1um,Ag_Ag_Ciesielski-Ni;Ag_Ciesielski-Ni
Ag_Ag_Ferrera-298K,VISNIR_ANY_Ag_Ferrera-298K_0.3_1.1um,UNIQUE,middle_exact:Ag_Ferrera-298K,1,VISNIR_ANY_Ag_Ferrera-298K_0.3_1.1um,Ag_Ag_Ferrera-298K;Ag_Ferrera-298K
Ag_Ag_Ferrera-404K,VISNIR_ANY_Ag_Ferrera-404K_0.3_1.1um,UNIQUE,middle_exact:Ag_Ferrera-404K,1,VISNIR_ANY_Ag_Ferrera-404K_0.3_1.1um,Ag_Ag_Ferrera-404K;Ag_Ferrera-404K
Ag_Ag_Ferrera-501K,VISNIR_ANY_Ag_Ferrera-501K_0.3_1.1um,UNIQUE,middle_exact:Ag_Ferrera-501K,1,VISNIR_ANY_Ag_Ferrera-501K_0.3_1.1um,Ag_Ag_Ferrera-501K;Ag_Ferrera-501K
Ag_Ag_Ferrera-600K,VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um,UNIQUE,middle_exact:Ag_Ferrera-600K,1,VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um,Ag_Ag_Ferrera-600K;Ag_Ferrera-600K
Ag_Ag_Hagemann,VISNIR_ANY_Ag_Hagemann_0.3_1.1um,UNIQUE,middle_exact:Ag_Hagemann,1,VISNIR_ANY_Ag_Hagemann_0.3_1.1um,Ag_Ag_Hagemann;Ag_Hagemann
Ag_Ag_Jiang,VISNIR_ANY_Ag_Jiang_0.3_1.1um,UNIQUE,middle_exact:Ag_Jiang,1,VISNIR_ANY_Ag_Jiang_0.3_1.1um,Ag_Ag_Jiang;Ag_Jiang
Ag_Ag_Johnson,VISNIR_ANY_Ag_Johnson_0.3_1.1um,UNIQUE,middle_exact:Ag_Johnson,1,VISNIR_ANY_Ag_Johnson_0.3_1.1um,Ag_Ag_Johnson;Ag_Johnson
Ag_Ag_McPeak,VISNIR_ANY_Ag_McPeak_0.3_1.1um,UNIQUE,middle_exact:Ag_McPeak,1,VISNIR_ANY_Ag_McPeak_0.3_1.1um,Ag_Ag_McPeak;Ag_McPeak
Ag_Ag_Rakic-BB,VISNIR_ANY_Ag_Rakic-BB_0.3_1.1um,UNIQUE,middle_exact:Ag_Rakic-BB,1,VISNIR_ANY_Ag_Rakic-BB_0.3_1.1um,Ag_Ag_Rakic-BB;Ag_Rakic-BB
Ag_Ag_Rakic-LD,VISNIR_ANY_Ag_Rakic-LD_0.3_1.1um,UNIQUE,middle_exact:Ag_Rakic-LD,1,VISNIR_ANY_Ag_Rakic-LD_0.3_1.1um,Ag_Ag_Rakic-LD;Ag_Rakic-LD
Ag_Ag_Stahrenberg,VISNIR_ANY_Ag_Stahrenberg_0.3_0.4959um,UNIQUE,middle_exact:Ag_Stahrenberg,1,VISNIR_ANY_Ag_Stahrenberg_0.3_0.4959um,Ag_Ag_Stahrenberg;Ag_Stahrenberg
Ag_Ag_Werner,VISNIR_ANY_Ag_Werner_0.3_1.1um,UNIQUE,middle_exact:Ag_Werner,1,VISNIR_ANY_Ag_Werner_0.3_1.1um,Ag_Ag_Werner;Ag_Werner
Ag_Ag_Werner-DFT,VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um,UNIQUE,middle_exact:Ag_Werner-DFT,1,VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um,Ag_Ag_Werner-DFT;Ag_Werner-DFT
Ag_Ag_Wu,VISNIR_ANY_Ag_Wu_0.3_0.9993um,UNIQUE,middle_exact:Ag_Wu,1,VISNIR_ANY_Ag_Wu_0.3_0.9993um,Ag_Ag_Wu;Ag_Wu
Ag_Ag_Yang,VISNIR_ANY_Ag_Yang_0.3_1.1um,UNIQUE,middle_exact:Ag_Yang,1,VISNIR_ANY_Ag_Yang_0.3_1.1um,Ag_Ag_Yang;Ag_Yang
Al2O3_Al2O3_Boidin,VISNIR_ANY_Al2O3_Boidin_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Boidin,1,VISNIR_ANY_Al2O3_Boidin_0.3_1.1um,Al2O3_Al2O3_Boidin;Al2O3_Boidin
Al2O3_Al2O3_Franta,VISNIR_ANY_Al2O3_Franta_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Franta,1,VISNIR_ANY_Al2O3_Franta_0.3_1.1um,Al2O3_Al2O3_Franta;Al2O3_Franta
Al2O3_Al2O3_Querry,VISNIR_ANY_Al2O3_Querry_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Querry,1,VISNIR_ANY_Al2O3_Querry_0.3_1.1um,Al2O3_Al2O3_Querry;Al2O3_Querry
Al2O3_Al2O3_Querry-e,VISNIR_ANY_Al2O3_Querry-e_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Querry-e,1,VISNIR_ANY_Al2O3_Querry-e_0.3_1.1um,Al2O3_Al2O3_Querry-e;Al2O3_Querry-e
Al2O3_Al2O3_Querry-o,VISNIR_ANY_Al2O3_Querry-o_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Querry-o,1,VISNIR_ANY_Al2O3_Querry-o_0.3_1.1um,Al2O3_Al2O3_Querry-o;Al2O3_Querry-o
Al2O3_Al2O3_Rodriguez_de_Marcos,VISNIR_ANY_Al2O3_Rodriguez_de_Marcos_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Rodriguez_de_Marcos,1,VISNIR_ANY_Al2O3_Rodriguez_de_Marcos_0.3_1.1um,Al2O3_Al2O3_Rodriguez_de_Marcos;Al2O3_Rodriguez_de_Marcos
Al2O3_Al2O3_Zhukovsky,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um,UNIQUE,middle_exact:Al2O3_Zhukovsky,1,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um,Al2O3_Al2O3_Zhukovsky;Al2O3_Zhukovsky
AlAs_AlAs_Gadras,VISNIR_ANY_AlAs_Gadras_0.4502_1.1um,UNIQUE,middle_exact:AlAs_Gadras,1,VISNIR_ANY_AlAs_Gadras_0.4502_1.1um,AlAs_AlAs_Gadras;AlAs_Gadras
AlAs_AlAs_Rakic,VISNIR_ANY_AlAs_Rakic_0.3_1.1um,UNIQUE,middle_exact:AlAs_Rakic,1,VISNIR_ANY_AlAs_Rakic_0.3_1.1um,AlAs_AlAs_Rakic;AlAs_Rakic
AlN_AlN_Beliaev1,VISNIR_ANY_AlN_Beliaev1_0.3_1.1um,UNIQUE,middle_exact:AlN_Beliaev1,1,VISNIR_ANY_AlN_Beliaev1_0.3_1.1um,AlN_AlN_Beliaev1;AlN_Beliaev1
Al_Al_Cheng,VISNIR_ANY_Al_Cheng_0.3_0.9999um,UNIQUE,middle_exact:Al_Cheng,1,VISNIR_ANY_Al_Cheng_0.3_0.9999um,Al_Al_Cheng;Al_Cheng
Al_Al_Hagemann,VISNIR_ANY_Al_Hagemann_0.3_1.1um,UNIQUE,middle_exact:Al_Hagemann,1,VISNIR_ANY_Al_Hagemann_0.3_1.1um,Al_Al_Hagemann;Al_Hagemann
Al_Al_Mathewson,VISNIR_ANY_Al_Mathewson_0.4959_1.1um,UNIQUE,middle_exact:Al_Mathewson,1,VISNIR_ANY_Al_Mathewson_0.4959_1.1um,Al_Al_Mathewson;Al_Mathewson
Al_Al_McPeak,VISNIR_ANY_Al_McPeak_0.3_1.1um,UNIQUE,middle_exact:Al_McPeak,1,VISNIR_ANY_Al_McPeak_0.3_1.1um,Al_Al_McPeak;Al_McPeak
Al_Al_Rakic,VISNIR_ANY_Al_Rakic_0.3_1.1um,UNIQUE,middle_exact:Al_Rakic,1,VISNIR_ANY_Al_Rakic_0.3_1.1um,Al_Al_Rakic;Al_Rakic
Al_Al_Rakic-BB,VISNIR_ANY_Al_Rakic-BB_0.3_1.1um,UNIQUE,middle_exact:Al_Rakic-BB,1,VISNIR_ANY_Al_Rakic-BB_0.3_1.1um,Al_Al_Rakic-BB;Al_Rakic-BB
Al_Al_Rakic-LD,VISNIR_ANY_Al_Rakic-LD_0.3_1.1um,UNIQUE,middle_exact:Al_Rakic-LD,1,VISNIR_ANY_Al_Rakic-LD_0.3_1.1um,Al_Al_Rakic-LD;Al_Rakic-LD
