record_key,record_tag,family,N,expected_model_code,epsilon_rms,absolute_rms,G_rho,source_FDTD_ready,source_FDTD_status,artifact_status,artifact_error,json_all_col,json_all_path,json_global_selected,source_record_key
Ag_Ag_Babar,VISNIR_ANY_Ag_Babar_0.3_1.1um,SCP,5,SCP_M5,0.0096747600067828,0.0341479925757942,1.0000004579931654,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M5 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M2,SCP_M3,SCP_M4'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ag\VISNIR_ANY_Ag_Babar_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ag\VISNIR_ANY_Ag_Babar_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Ag_Babar_0.3_1.1um
Si_Si_Aspnes,VISNIR_ANY_Si_Aspnes_0.3_0.8266um,SCP,5,SCP_M5,0.0045327672277231,0.1905269482375091,1.0000009564325345,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M5 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M4'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Si\VISNIR_ANY_Si_Aspnes_0.3_0.8266um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Si\VISNIR_ANY_Si_Aspnes_0.3_0.8266um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Si_Aspnes_0.3_0.8266um
C_C_Taylor,VISNIR_ANY_C_Taylor_0.3_1.1um,SCP,5,SCP_M5,3.8755537973170034e-07,2.311275793241784e-06,1.0000000205294364,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M5 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M2,SCP_M3'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\C\VISNIR_ANY_C_Taylor_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\C\VISNIR_ANY_C_Taylor_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_C_Taylor_0.3_1.1um
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um,CP,5,CP_M5,1.113553696397947e-05,5.938130954066317e-05,1.000000085401174,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'CP_M5 not found in cp_analytical_all_tidy3d_pole_residue.json; available=CP_M1,CP_M2,CP_M3'",json_cp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um,SCP,5,SCP_M5,0.0002326606745632,0.0011557561246972,1.0000001292964291,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M5 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M2,SCP_M3,SCP_M4'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-4-25_0.3_1.1um
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-450,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um,CP,5,CP_M5,0.000218584801123,0.0011287450418142,1.0000002853492749,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'CP_M5 not found in cp_analytical_all_tidy3d_pole_residue.json; available=CP_M1,CP_M2,CP_M3,CP_M4'",json_cp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um
Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-450,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um,SCP,5,SCP_M5,0.0002217593659193,0.001111230484049,1.0000002411480842,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M5 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M2,SCP_M3,SCP_M4'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Ta2O5\VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Ta2O5_Cheikh-amorphous-3.28-8-450_0.3_1.1um
Si3N4_Si3N4_Beliaev,VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um,SCP,4,SCP_M4,3.681510004920479e-05,0.0001611832773497,1.000000101950483,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M4 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M2,SCP_M3'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Si3N4\VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\Si3N4\VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_Si3N4_Beliaev_0.3_1.1um
MoSe2_MoSe2_Pruszynska-Karbownik-e,VISNIR_ANY_MoSe2_Pruszynska-Karbownik-e_0.3_1.1um,SCP,4,SCP_M4,0.000372238278778,0.00334342185187,1.0000004508445808,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'SCP_M4 not found in cp_semi_analytical_all_tidy3d_pole_residue.json; available=SCP_M1,SCP_M2,SCP_M3,SCP_M5'",json_scp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\MoSe2\VISNIR_ANY_MoSe2_Pruszynska-Karbownik-e_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_semi_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\MoSe2\VISNIR_ANY_MoSe2_Pruszynska-Karbownik-e_0.3_1.1um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_MoSe2_Pruszynska-Karbownik-e_0.3_1.1um
MoS2_MoS2_Hsu-1L,VISNIR_ANY_MoS2_Hsu-1L_0.397_0.857um,CP,4,CP_M4,0.0940869706600839,2.7391830695632624,1.000000000000001,True,READY,NOT_EXPORTED_ARTIFACT_MISSING,"KeyError: 'CP_M4 not found in cp_analytical_all_tidy3d_pole_residue.json; available=CP_M1,CP_M2,CP_M3,CP_M5'",json_cp_all,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\MoS2\VISNIR_ANY_MoS2_Hsu-1L_0.397_0.857um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_analytical_all_tidy3d_pole_residue.json,D:\02_Academic_Research\12_Material_Fitter\05_Website\CPSEMICP_SOURCE_VISNIR_POOL50_2nm_G401_3DISO_DX5\records\VISNIR\MoS2\VISNIR_ANY_MoS2_Hsu-1L_0.397_0.857um\CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5\cp_global_selected_tidy3d_pole_residue.json,VISNIR_ANY_MoS2_Hsu-1L_0.397_0.857um
