record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,raw_epsilon_rms,raw_absolute_rms,min_im_eps,G_rho,G_rho_excess,G_class,FDTD_ready,FDTD_status,native_fit_status,selected,model_json,model_curve,fitting_grid_points,raw_database_points,fit_wl_min_um,fit_wl_max_um,n_input_points,source_output_dir,log_file,run_status,error,source_record_key
Ag_Ag_Babar,Ag,Ag,Babar,False,2,RP,RP,RP_M2,VF_RP_MS256_G075_3D_DX5,0.4180584761194875,0.6200170587829208,0.4180584761194875,0.6200170587829208,0.1951972601690934,1.0,0.0,G_STABLE,True,FDTD_READY,OK,False,models/Ag_Ag_Babar/RP_M2.json,model_curves/Ag_Ag_Babar/RP_M2.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,experimental/Ag_Ag_Babar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Babar_0.3_1.1um
Ag_Ag_Babar,Ag,Ag,Babar,False,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0196246550711032,0.0364076309006382,0.0196246550711032,0.0364076309006382,0.2304299659820952,1.0,0.0,G_STABLE,True,FDTD_READY,OK,False,models/Ag_Ag_Babar/RP_M3.json,model_curves/Ag_Ag_Babar/RP_M3.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,experimental/Ag_Ag_Babar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Babar_0.3_1.1um
Ag_Ag_Babar,Ag,Ag,Babar,False,4,RP,RP,RP_M4,VF_RP_MS256_G075_3D_DX5,0.0226048213127806,0.0409681812289963,0.0226048213127806,0.0409681812289963,0.2294667439691371,1.0,0.0,G_STABLE,True,FDTD_READY,OK,False,models/Ag_Ag_Babar/RP_M4.json,model_curves/Ag_Ag_Babar/RP_M4.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,experimental/Ag_Ag_Babar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Babar_0.3_1.1um
Ag_Ag_Babar,Ag,Ag,Babar,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0161603154276134,0.0216385868696049,0.0161603154276134,0.0216385868696049,0.2087426000622946,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ag_Ag_Babar/RP_M5.json,model_curves/Ag_Ag_Babar/RP_M5.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,experimental/Ag_Ag_Babar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Babar_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,True,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,1.1889696496858635e-05,3.2292046070560305e-05,1.188687509857292e-05,3.228448476089967e-05,1.0000000000000033e-07,1.0000000000000002,2.220446049250313e-16,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/Al2O3_Al2O3_Zhukovsky/RP_M1.json,model_curves/Al2O3_Al2O3_Zhukovsky/RP_M1.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/run.log,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,False,2,RP,RP,RP_M2,VF_RP_MS256_G075_3D_DX5,4.3396911845030203e-07,1.1694572084375478e-06,4.214854721988326e-07,1.135614601147007e-06,1.0000000000012417e-07,1.0,0.0,G_STABLE,True,FDTD_READY,RESOLVED,False,models/Al2O3_Al2O3_Zhukovsky/RP_M2.json,model_curves/Al2O3_Al2O3_Zhukovsky/RP_M2.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/run.log,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,False,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,4.303959168741461e-07,1.1587317245505565e-06,4.18625379988062e-07,1.1268244776770943e-06,9.999999985585777e-08,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,FDTD_READY,RESOLVED,False,models/Al2O3_Al2O3_Zhukovsky/RP_M3.json,model_curves/Al2O3_Al2O3_Zhukovsky/RP_M3.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/run.log,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,False,4,RP,RP,RP_M4,VF_RP_MS256_G075_3D_DX5,4.271748363234229e-07,1.1516259266246738e-06,4.133189821661843e-07,1.1142626769922743e-06,9.999999841456528e-08,1.0,0.0,G_STABLE,True,FDTD_READY,RESOLVED,False,models/Al2O3_Al2O3_Zhukovsky/RP_M4.json,model_curves/Al2O3_Al2O3_Zhukovsky/RP_M4.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/run.log,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,False,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,4.23619444545315e-07,1.1406995115058417e-06,4.076690212975417e-07,1.0974636302428205e-06,9.999999999978196e-08,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,FDTD_READY,RESOLVED,False,models/Al2O3_Al2O3_Zhukovsky/RP_M5.json,model_curves/Al2O3_Al2O3_Zhukovsky/RP_M5.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/run.log,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Au_Au_Magnozzi-225C,Au,Au,Magnozzi-225C,False,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,0.5084086000907698,3.21628911105264,0.5084086000907698,3.21628911105264,0.1811047915399168,1.000000000000001,1.1102230246251563e-15,G_STABLE,True,FDTD_READY,OK,False,models/Au_Au_Magnozzi-225C/RP_M1.json,model_curves/Au_Au_Magnozzi-225C/RP_M1.json,experimental/Au_Au_Magnozzi-225C/fitting_grid_points.json,experimental/Au_Au_Magnozzi-225C/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/run.log,OK,,VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um
