record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,G_rho,model_json,model_curve,selection_mode,reason
Ag_Ag_Babar,Ag,Ag,Babar,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0101530514522324,0.0313209759150418,1.0000000000000002,data/models/Ag_Ag_Babar/CP_M5_B.json,data/model_curves/Ag_Ag_Babar/CP_M5_B.json,lowest_RMS_no_primary_target,
Ag_Ag_Ciesielski,Ag,Ag,Ciesielski,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0027424077568858,0.0171471027319971,1.0,data/models/Ag_Ag_Ciesielski/CP_M5_B.json,data/model_curves/Ag_Ag_Ciesielski/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
Ag_Ag_Ciesielski-Ge,Ag,Ag,Ciesielski-Ge,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.002051256131326,0.0162421423163912,1.000000000000001,data/models/Ag_Ag_Ciesielski-Ge/CP_M4_B.json,data/model_curves/Ag_Ag_Ciesielski-Ge/CP_M4_B.json,smallest_N_meeting_primary_target_0.005,
Ag_Ag_Ciesielski-Ni,Ag,Ag,Ciesielski-Ni,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0028105658921749,0.0280573712310304,1.0,data/models/Ag_Ag_Ciesielski-Ni/CP_M5_B.json,data/model_curves/Ag_Ag_Ciesielski-Ni/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
Ag_Ag_Ferrera-298K,Ag,Ag,Ferrera-298K,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0232933220689859,0.3129176194582377,1.0000003636510435,data/models/Ag_Ag_Ferrera-298K/CP_M3_B.json,data/model_curves/Ag_Ag_Ferrera-298K/CP_M3_B.json,lowest_RMS_no_primary_target,
Ag_Ag_Ferrera-404K,Ag,Ag,Ferrera-404K,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0292144800432177,0.5458034862437529,1.000000250185168,data/models/Ag_Ag_Ferrera-404K/CP_M2_B.json,data/model_curves/Ag_Ag_Ferrera-404K/CP_M2_B.json,lowest_RMS_no_primary_target,
Ag_Ag_Ferrera-501K,Ag,Ag,Ferrera-501K,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0104384641400728,0.140024667906405,1.0,data/models/Ag_Ag_Ferrera-501K/CP_M5_B.json,data/model_curves/Ag_Ag_Ferrera-501K/CP_M5_B.json,lowest_RMS_no_primary_target,
Ag_Ag_Ferrera-600K,Ag,Ag,Ferrera-600K,True,2.0,SCP,CP,CP_M2,CP_M2_B,0.0171876925554525,0.1978300064072374,1.0000000000000002,data/models/Ag_Ag_Ferrera-600K/CP_M2_B.json,data/model_curves/Ag_Ag_Ferrera-600K/CP_M2_B.json,lowest_RMS_no_primary_target,
Ag_Ag_Hagemann,Ag,Ag,Hagemann,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0092401816348777,0.0439776405385738,1.0000000561982978,data/models/Ag_Ag_Hagemann/CP_M5_B.json,data/model_curves/Ag_Ag_Hagemann/CP_M5_B.json,lowest_RMS_no_primary_target,
Ag_Ag_Jiang,Ag,Ag,Jiang,True,3.0,SCP,CP,CP_M3,CP_M3_B,0.0037247032500122,0.026786204436219,1.0000000000000004,data/models/Ag_Ag_Jiang/CP_M3_B.json,data/model_curves/Ag_Ag_Jiang/CP_M3_B.json,smallest_N_meeting_primary_target_0.005,
Ag_Ag_Johnson,Ag,Ag,Johnson,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.025048787511966,0.1329511246597873,1.0000000000000004,data/models/Ag_Ag_Johnson/CP_M4_B.json,data/model_curves/Ag_Ag_Johnson/CP_M4_B.json,lowest_RMS_no_primary_target,
