record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,raw_seed_epsilon_rms,raw_seed_absolute_rms,min_im_eps,G_rho,G_rho_excess,G_class,source_FDTD_ready,source_FDTD_status,FDTD_ready,FDTD_status,exportable,artifact_status,selected,model_json,model_curve,fitting_grid_points,raw_database_points,fit_wl_min_um,fit_wl_max_um,n_input_points,source_output_dir,json_global_selected,json_cp_all,json_scp_all,run_status,error,source_record_key
Ag_Ag_Babar,Ag,Ag,Babar,True,4,SCP,SemiAnalyticalCP,SCP_M4,SCP_POOL50,0.0109863830074368,0.02959089297893,0.232644923710463,0.557432224923588,0.1962235485877805,1.0,0.0,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Ag_Ag_Babar/SCP_M4.json,model_curves/Ag_Ag_Babar/SCP_M4.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,experimental/Ag_Ag_Babar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Ag_Babar_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,True,1,SCP,SemiAnalyticalCP,SCP_M1,SCP_POOL50,1.3368493533739113e-05,3.6980654275376026e-05,0.0014460361927463,0.0039248282118872,7.726088844437369e-08,1.0,0.0,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Al2O3_Al2O3_Zhukovsky/SCP_M1.json,model_curves/Al2O3_Al2O3_Zhukovsky/SCP_M1.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Au_Au_Magnozzi-225C,Au,Au,Magnozzi-225C,True,4,SCP,SemiAnalyticalCP,SCP_M4,SCP_POOL50,0.0039476623141915,0.0852168923819436,0.1087068526118816,1.186826831909053,1.2766624057402738,1.0,0.0,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Au_Au_Magnozzi-225C/SCP_M4.json,model_curves/Au_Au_Magnozzi-225C/SCP_M4.json,experimental/Au_Au_Magnozzi-225C/fitting_grid_points.json,experimental/Au_Au_Magnozzi-225C/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um
C_C_Song-cHOPG-o,C,C,Song-cHOPG-o,True,1,SCP,SemiAnalyticalCP,SCP_M1,SCP_POOL50,0.1658329340046657,1.5472638896678514,0.618566410814413,5.729433938816527,2.828255888082147,1.0,0.0,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/C_C_Song-cHOPG-o/SCP_M1.json,model_curves/C_C_Song-cHOPG-o/SCP_M1.json,experimental/C_C_Song-cHOPG-o/fitting_grid_points.json,experimental/C_C_Song-cHOPG-o/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/C/VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/C/VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/C/VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/C/VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um
Cu_Cu_Querry,Cu,Cu,Querry,True,4,SCP,SemiAnalyticalCP,SCP_M4,SCP_POOL50,0.0032070805309935,0.0808771724338431,0.1965242730179216,1.4637630371616,1.895915075192984,1.000000000000002,1.9984014443252818e-15,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Cu_Cu_Querry/SCP_M4.json,model_curves/Cu_Cu_Querry/SCP_M4.json,experimental/Cu_Cu_Querry/fitting_grid_points.json,experimental/Cu_Cu_Querry/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Cu/VISNIR_ANY_Cu_Querry_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Cu/VISNIR_ANY_Cu_Querry_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Cu/VISNIR_ANY_Cu_Querry_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Cu/VISNIR_ANY_Cu_Querry_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Cu_Querry_0.3_1.1um
MgF2_MgF2_Rodriguez-de_Marcos,MgF2,MgF2,Rodriguez-de Marcos,True,1,CP,AnalyticalCP,CP_M1,CP_POOL50,3.462616391847055e-05,7.071224813625685e-05,0.0006645741595344,0.0013564532587841,0.0008286688564591,1.0,0.0,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/MgF2_MgF2_Rodriguez-de_Marcos/CP_M1.json,model_curves/MgF2_MgF2_Rodriguez-de_Marcos/CP_M1.json,experimental/MgF2_MgF2_Rodriguez-de_Marcos/fitting_grid_points.json,experimental/MgF2_MgF2_Rodriguez-de_Marcos/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MgF2/VISNIR_ANY_MgF2_Rodriguez-de_Marcos_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MgF2/VISNIR_ANY_MgF2_Rodriguez-de_Marcos_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MgF2/VISNIR_ANY_MgF2_Rodriguez-de_Marcos_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MgF2/VISNIR_ANY_MgF2_Rodriguez-de_Marcos_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_MgF2_Rodriguez-de_Marcos_0.3_1.1um
MoS2_MoS2_Munkhbat-o,MoS2,MoS2,Munkhbat-o,True,5,CP,AnalyticalCP,CP_M5,CP_POOL50,0.0231642525227305,0.519082357915278,0.0238168445871657,0.542320543403593,0.1567064878461659,1.000000000000001,1.1102230246251563e-15,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/MoS2_MoS2_Munkhbat-o/CP_M5.json,model_curves/MoS2_MoS2_Munkhbat-o/CP_M5.json,experimental/MoS2_MoS2_Munkhbat-o/fitting_grid_points.json,experimental/MoS2_MoS2_Munkhbat-o/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MoS2/VISNIR_ANY_MoS2_Munkhbat-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MoS2/VISNIR_ANY_MoS2_Munkhbat-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MoS2/VISNIR_ANY_MoS2_Munkhbat-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/MoS2/VISNIR_ANY_MoS2_Munkhbat-o_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_MoS2_Munkhbat-o_0.3_1.1um
Pd_Pd_Rakic-BB,Pd,Pd,Rakic-BB,True,4,SCP,SemiAnalyticalCP,SCP_M4,SCP_POOL50,0.0002965387827695,0.0062103065198345,0.0071789794628511,0.1098070322957526,5.176417809077011,1.0,0.0,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Pd_Pd_Rakic-BB/SCP_M4.json,model_curves/Pd_Pd_Rakic-BB/SCP_M4.json,experimental/Pd_Pd_Rakic-BB/fitting_grid_points.json,experimental/Pd_Pd_Rakic-BB/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Pd/VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Pd/VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Pd/VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Pd/VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um
Si_Si_Vuye-100C,Si,Si,Vuye-100C,True,3,SCP,SemiAnalyticalCP,SCP_M3,SCP_POOL50,0.0035539002669317,0.1210787523953948,0.0089837541659279,0.2392884485426039,0.0108711410476909,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Si_Si_Vuye-100C/SCP_M3.json,model_curves/Si_Si_Vuye-100C/SCP_M3.json,experimental/Si_Si_Vuye-100C/fitting_grid_points.json,experimental/Si_Si_Vuye-100C/raw_database_points.json,0.3,0.8266,265,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um
Ta_Ta_Werner-DFT,Ta,Ta,Werner-DFT,True,5,SCP,SemiAnalyticalCP,SCP_M5,SCP_POOL50,0.0090489251473753,0.092936176163347,0.01652060614634,0.2255052758493776,7.528031716267575,1.0000000000000009,8.881784197001252e-16,G_STABLE,True,READY,True,READY,True,EXPORTED,False,models/Ta_Ta_Werner-DFT/SCP_M5.json,model_curves/Ta_Ta_Werner-DFT/SCP_M5.json,experimental/Ta_Ta_Werner-DFT/fitting_grid_points.json,experimental/Ta_Ta_Werner-DFT/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ta/VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ta/VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_global_selected_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ta/VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_analytical_all_tidy3d_pole_residue.json,/home/kunet.ae/ku5001047/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/VISNIR_CPSEMICP_POOL50_2nm_G401_3DISO_DX5/records/VISNIR/Ta/VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um/CPSEMICP_pool50_etaCFL0p75_G401_3DISO_DX5/cp_semi_analytical_all_tidy3d_pole_residue.json,OK,,VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um
