record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,raw_epsilon_rms,raw_absolute_rms,min_im_eps,G_rho,G_rho_excess,G_class,FDTD_ready,FDTD_status,native_fit_status,selected,model_json,model_curve,fitting_grid_points,raw_database_points,fit_wl_min_um,fit_wl_max_um,n_input_points,source_output_dir,log_file,run_status,error,source_record_key
Ag_Ag_Babar,Ag,Ag,Babar,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0161603154276134,0.0216385868696049,0.0161603154276134,0.0216385868696049,0.2087426000622946,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ag_Ag_Babar/RP_M5.json,model_curves/Ag_Ag_Babar/RP_M5.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,experimental/Ag_Ag_Babar/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ag/VISNIR_ANY_Ag_Babar_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ag_Babar_0.3_1.1um
Al2O3_Al2O3_Zhukovsky,Al2O3,Al2O3,Zhukovsky,True,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,1.1889696496858635e-05,3.2292046070560305e-05,1.188687509857292e-05,3.228448476089967e-05,1.0000000000000033e-07,1.0000000000000002,2.220446049250313e-16,G_STABLE,True,SELECTED_FDTD_READY,RESOLVED,True,models/Al2O3_Al2O3_Zhukovsky/RP_M1.json,model_curves/Al2O3_Al2O3_Zhukovsky/RP_M1.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Al2O3/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/run.log,OK,,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
Au_Au_Magnozzi-225C,Au,Au,Magnozzi-225C,True,4,RP,RP,RP_M4,VF_RP_MS256_G075_3D_DX5,0.0153060595709421,0.120326115891737,0.0153060595709421,0.120326115891737,1.2342028125655315,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Au_Au_Magnozzi-225C/RP_M4.json,model_curves/Au_Au_Magnozzi-225C/RP_M4.json,experimental/Au_Au_Magnozzi-225C/fitting_grid_points.json,experimental/Au_Au_Magnozzi-225C/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Au/VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um/run.log,OK,,VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um
C_C_Song-cHOPG-o,C,C,Song-cHOPG-o,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0017069155239971,0.0154014586186001,0.0017069155239971,0.0154014586186001,5.66991839428273,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/C_C_Song-cHOPG-o/RP_M5.json,model_curves/C_C_Song-cHOPG-o/RP_M5.json,experimental/C_C_Song-cHOPG-o/fitting_grid_points.json,experimental/C_C_Song-cHOPG-o/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/C/VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/C/VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um/run.log,OK,,VISNIR_ANY_C_Song-cHOPG-o_0.3_1.1um
Cu_Cu_Querry,Cu,Cu,Querry,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0245910465163075,0.1436633020125447,0.0245910465163075,0.1436633020125447,1.8303622600110003,1.0000000000000016,1.5543122344752197e-15,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Cu_Cu_Querry/RP_M5.json,model_curves/Cu_Cu_Querry/RP_M5.json,experimental/Cu_Cu_Querry/fitting_grid_points.json,experimental/Cu_Cu_Querry/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Cu/VISNIR_ANY_Cu_Querry_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Cu/VISNIR_ANY_Cu_Querry_0.3_1.1um/run.log,OK,,VISNIR_ANY_Cu_Querry_0.3_1.1um
Pd_Pd_Rakic-BB,Pd,Pd,Rakic-BB,True,3,RP,RP,RP_M3,VF_RP_MS256_G075_3D_DX5,0.0116241432339002,0.098120087004699,0.0116241432339002,0.098120087004699,4.823455935452265,1.0000000000000002,2.220446049250313e-16,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Pd_Pd_Rakic-BB/RP_M3.json,model_curves/Pd_Pd_Rakic-BB/RP_M3.json,experimental/Pd_Pd_Rakic-BB/fitting_grid_points.json,experimental/Pd_Pd_Rakic-BB/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Pd/VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Pd/VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um/run.log,OK,,VISNIR_ANY_Pd_Rakic-BB_0.3_1.1um
Si_Si_Vuye-100C,Si,Si,Vuye-100C,True,4,RP,RP,RP_M4,VF_RP_MS256_G075_3D_DX5,0.0036651392596478,0.1206225060169178,0.0036651392596478,0.1206225060169178,0.0101271643598372,1.000000000000001,1.1102230246251563e-15,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Si_Si_Vuye-100C/RP_M4.json,model_curves/Si_Si_Vuye-100C/RP_M4.json,experimental/Si_Si_Vuye-100C/fitting_grid_points.json,experimental/Si_Si_Vuye-100C/raw_database_points.json,0.3,0.8266,265,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Si/VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um/run.log,OK,,VISNIR_ANY_Si_Vuye-100C_0.3_0.8266um
Ta_Ta_Werner-DFT,Ta,Ta,Werner-DFT,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0433566092161288,0.6156754714082824,0.0433566092161288,0.6156754714082824,7.1019205183056044,1.0000000000000004,4.440892098500626e-16,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ta_Ta_Werner-DFT/RP_M5.json,model_curves/Ta_Ta_Werner-DFT/RP_M5.json,experimental/Ta_Ta_Werner-DFT/fitting_grid_points.json,experimental/Ta_Ta_Werner-DFT/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ta/VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ta/VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ta_Werner-DFT_0.3_1.1um
Ti_Ti_Rakic-LD,Ti,Ti,Rakic-LD,True,5,RP,RP,RP_M5,VF_RP_MS256_G075_3D_DX5,0.0080698938116913,0.1096107045940142,0.0080698938116913,0.1096107045940142,2.4392465362336937,1.0000000000000069,6.8833827526759706e-15,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/Ti_Ti_Rakic-LD/RP_M5.json,model_curves/Ti_Ti_Rakic-LD/RP_M5.json,experimental/Ti_Ti_Rakic-LD/fitting_grid_points.json,experimental/Ti_Ti_Rakic-LD/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ti/VISNIR_ANY_Ti_Rakic-LD_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/Ti/VISNIR_ANY_Ti_Rakic-LD_0.3_1.1um/run.log,OK,,VISNIR_ANY_Ti_Rakic-LD_0.3_1.1um
W_W_Rakic-LD,W,W,Rakic-LD,True,1,RP,RP,RP_M1,VF_RP_MS256_G075_3D_DX5,0.3090164948569391,6.13944672859528,0.3090164948569391,6.13944672859528,7.75857106921526,1.0,0.0,G_STABLE,True,SELECTED_FDTD_READY,OK,True,models/W_W_Rakic-LD/RP_M1.json,model_curves/W_W_Rakic-LD/RP_M1.json,experimental/W_W_Rakic-LD/fitting_grid_points.json,experimental/W_W_Rakic-LD/raw_database_points.json,0.3,1.1,401,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/W/VISNIR_ANY_W_Rakic-LD_0.3_1.1um/VF_RP_Tidy3D_MULTISTART256_etaCFL0p75_NOTOPK,/home/kunet.ae/ku5001047/VISNIR_MS256_2nm_G401_3D_DX5/VISNIR_MS256_2nm_G401_3D_DX5/records/VISNIR/W/VISNIR_ANY_W_Rakic-LD_0.3_1.1um/run.log,OK,,VISNIR_ANY_W_Rakic-LD_0.3_1.1um
