record_key,material,material_class,book,page,N,selected_family,selected_specific_model,selected_epsilon_rms,selected_abs_rms,selected_G_rho,quality_label,selected_model_json
Ag_Ag_Babar,Ag,metal,Ag,Babar,1,CP,SemiCP,0.1626013339841945,2.1923374143055865,1.0000000779130822,poor,data/models/Ag_Ag_Babar/SemiCP_M1.json
Ag_Ag_Babar,Ag,metal,Ag,Babar,2,CP,SemiCP,0.022122610830408,0.1827143424596974,1.000000084479173,warning,data/models/Ag_Ag_Babar/SemiCP_M2.json
Ag_Ag_Babar,Ag,metal,Ag,Babar,3,CP,SemiCP,0.0113552461257554,0.0784115356928592,1.000000183042972,warning,data/models/Ag_Ag_Babar/SemiCP_M3.json
Ag_Ag_Babar,Ag,metal,Ag,Babar,4,CP,SemiCP,0.0105780095049884,0.0269592764133548,1.0000000000000024,warning,data/models/Ag_Ag_Babar/SemiCP_M4.json
Ag_Ag_Babar,Ag,metal,Ag,Babar,5,CP,SemiCP,0.0100493917517415,0.0340532894473061,1.0000000000000004,warning,data/models/Ag_Ag_Babar/SemiCP_M5.json
Ag_Ag_Ciesielski,Ag,metal,Ag,Ciesielski,1,CP,SemiCP,0.1421147527078038,1.442537285755318,1.0000001166072654,poor,
Ag_Ag_Ciesielski,Ag,metal,Ag,Ciesielski,2,CP,SemiCP,0.0439110941318195,0.3661404828521758,1.00000074539498,warning,
Ag_Ag_Ciesielski,Ag,metal,Ag,Ciesielski,3,CP,SemiCP,0.005714628899415,0.0272425392453488,1.0,acceptable,
Ag_Ag_Ciesielski,Ag,metal,Ag,Ciesielski,4,CP,SemiCP,0.003517228224677,0.027829157962377,1.0,excellent,
Ag_Ag_Ciesielski,Ag,metal,Ag,Ciesielski,5,CP,SemiCP,0.003023137988899,0.01268021919615,1.0000000000000029,excellent,
Ag_Ag_Ciesielski-Ge,Ag,metal,Ag,Ciesielski-Ge,1,CP,SemiCP,0.152444704634484,1.3116122409042814,1.0000000000000004,poor,data/models/Ag_Ag_Ciesielski-Ge/SemiCP_M1.json
Ag_Ag_Ciesielski-Ge,Ag,metal,Ag,Ciesielski-Ge,2,CP,CP,0.052739845495874,1.392196252119417,1.0000000000000009,poor,data/models/Ag_Ag_Ciesielski-Ge/CP_M2.json
Ag_Ag_Ciesielski-Ge,Ag,metal,Ag,Ciesielski-Ge,3,CP,SemiCP,0.0167986822420811,0.1799129794452077,1.0,warning,data/models/Ag_Ag_Ciesielski-Ge/SemiCP_M3.json
Ag_Ag_Ciesielski-Ge,Ag,metal,Ag,Ciesielski-Ge,4,CP,SemiCP,0.0020474164095391,0.0161802834129295,1.0000000000000009,excellent,data/models/Ag_Ag_Ciesielski-Ge/SemiCP_M4.json
Ag_Ag_Ciesielski-Ge,Ag,metal,Ag,Ciesielski-Ge,5,CP,SemiCP,0.0009079149338772,0.0116661571165774,1.0000000000000009,excellent,data/models/Ag_Ag_Ciesielski-Ge/SemiCP_M5.json
Ag_Ag_Ciesielski-Ni,Ag,metal,Ag,Ciesielski-Ni,1,CP,SemiCP,0.1536777682273924,2.107327275055394,1.0000000932810371,poor,data/models/Ag_Ag_Ciesielski-Ni/SemiCP_M1.json
