material,record_key,record_label,book,page,material_class,record_json,raw_database_points,fitting_grid_points,wavelength_range_um,wavelength_range_source,fdtd_ready_exported_model_count,fdtd_ready_count,FDTD_ready_count,recommended_N,recommended_public_family,recommended_model_code,recommended_epsilon_rms,model_order_count,fit_wl_min_um,fit_wl_max_um,n_model_rows,n_exportable_rows,has_recommendation,recommended_family,recommended_model_json,recommended_model_curve,source_record_key
Ag,Ag_Ag_Babar,Ag / Babar,Ag,Babar,,records/Ag_Ag_Babar.json,experimental/Ag_Ag_Babar/raw_database_points.json,experimental/Ag_Ag_Babar/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,13,13,13,4.0,SemiAnalyticalCP,SCP_M4,0.0109863830074368,5,0.3,1.1,15,13,True,SCP,models/VISNIR_ANY_Ag_Babar_0.3_1.1um/SCP_M4.json,model_curves/VISNIR_ANY_Ag_Babar_0.3_1.1um/SCP_M4.json,VISNIR_ANY_Ag_Babar_0.3_1.1um
Ag,Ag_Ag_Ciesielski-Ge,Ag / Ciesielski-Ge,Ag,Ciesielski-Ge,,records/Ag_Ag_Ciesielski-Ge.json,experimental/Ag_Ag_Ciesielski-Ge/raw_database_points.json,experimental/Ag_Ag_Ciesielski-Ge/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,4.0,SemiAnalyticalCP,SCP_M4,0.0021741297156469,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Ciesielski-Ge_0.3_1.1um/SCP_M4.json,model_curves/VISNIR_ANY_Ag_Ciesielski-Ge_0.3_1.1um/SCP_M4.json,VISNIR_ANY_Ag_Ciesielski-Ge_0.3_1.1um
Ag,Ag_Ag_Ciesielski-Ni,Ag / Ciesielski-Ni,Ag,Ciesielski-Ni,,records/Ag_Ag_Ciesielski-Ni.json,experimental/Ag_Ag_Ciesielski-Ni/raw_database_points.json,experimental/Ag_Ag_Ciesielski-Ni/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,4.0,SemiAnalyticalCP,SCP_M4,0.0037158506527015,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Ciesielski-Ni_0.3_1.1um/SCP_M4.json,model_curves/VISNIR_ANY_Ag_Ciesielski-Ni_0.3_1.1um/SCP_M4.json,VISNIR_ANY_Ag_Ciesielski-Ni_0.3_1.1um
Ag,Ag_Ag_Ciesielski,Ag / Ciesielski,Ag,Ciesielski,,records/Ag_Ag_Ciesielski.json,experimental/Ag_Ag_Ciesielski/raw_database_points.json,experimental/Ag_Ag_Ciesielski/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,5.0,SemiAnalyticalCP,SCP_M5,0.0031838805308302,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Ciesielski_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Ag_Ciesielski_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Ag_Ciesielski_0.3_1.1um
Ag,Ag_Ag_Ferrera-298K,Ag / Ferrera-298K,Ag,Ferrera-298K,,records/Ag_Ag_Ferrera-298K.json,experimental/Ag_Ag_Ferrera-298K/raw_database_points.json,experimental/Ag_Ag_Ferrera-298K/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,13,13,13,5.0,SemiAnalyticalCP,SCP_M5,0.0104474209702678,5,0.3,1.1,15,13,True,SCP,models/VISNIR_ANY_Ag_Ferrera-298K_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Ag_Ferrera-298K_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Ag_Ferrera-298K_0.3_1.1um
Ag,Ag_Ag_Ferrera-404K,Ag / Ferrera-404K,Ag,Ferrera-404K,,records/Ag_Ag_Ferrera-404K.json,experimental/Ag_Ag_Ferrera-404K/raw_database_points.json,experimental/Ag_Ag_Ferrera-404K/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,11,11,11,2.0,SemiAnalyticalCP,SCP_M2,0.029509597432,5,0.3,1.1,15,11,True,SCP,models/VISNIR_ANY_Ag_Ferrera-404K_0.3_1.1um/SCP_M2.json,model_curves/VISNIR_ANY_Ag_Ferrera-404K_0.3_1.1um/SCP_M2.json,VISNIR_ANY_Ag_Ferrera-404K_0.3_1.1um
Ag,Ag_Ag_Ferrera-501K,Ag / Ferrera-501K,Ag,Ferrera-501K,,records/Ag_Ag_Ferrera-501K.json,experimental/Ag_Ag_Ferrera-501K/raw_database_points.json,experimental/Ag_Ag_Ferrera-501K/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,10,10,10,5.0,SemiAnalyticalCP,SCP_M5,0.0047470615420864,5,0.3,1.1,15,10,True,SCP,models/VISNIR_ANY_Ag_Ferrera-501K_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Ag_Ferrera-501K_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Ag_Ferrera-501K_0.3_1.1um
Ag,Ag_Ag_Ferrera-600K,Ag / Ferrera-600K,Ag,Ferrera-600K,,records/Ag_Ag_Ferrera-600K.json,experimental/Ag_Ag_Ferrera-600K/raw_database_points.json,experimental/Ag_Ag_Ferrera-600K/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,12,12,12,5.0,RP,RP_M5,0.0117990223481159,5,0.3,1.1,15,12,True,RP,models/VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um/RP_M5.json,model_curves/VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um/RP_M5.json,VISNIR_ANY_Ag_Ferrera-600K_0.3_1.1um
Ag,Ag_Ag_Hagemann,Ag / Hagemann,Ag,Hagemann,,records/Ag_Ag_Hagemann.json,experimental/Ag_Ag_Hagemann/raw_database_points.json,experimental/Ag_Ag_Hagemann/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,5.0,SemiAnalyticalCP,SCP_M5,0.0091114010134471,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Hagemann_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Ag_Hagemann_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Ag_Hagemann_0.3_1.1um
Ag,Ag_Ag_Jiang,Ag / Jiang,Ag,Jiang,,records/Ag_Ag_Jiang.json,experimental/Ag_Ag_Jiang/raw_database_points.json,experimental/Ag_Ag_Jiang/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,4.0,SemiAnalyticalCP,SCP_M4,0.0008135676529258,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Jiang_0.3_1.1um/SCP_M4.json,model_curves/VISNIR_ANY_Ag_Jiang_0.3_1.1um/SCP_M4.json,VISNIR_ANY_Ag_Jiang_0.3_1.1um
Ag,Ag_Ag_Johnson,Ag / Johnson,Ag,Johnson,,records/Ag_Ag_Johnson.json,experimental/Ag_Ag_Johnson/raw_database_points.json,experimental/Ag_Ag_Johnson/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,3.0,SemiAnalyticalCP,SCP_M3,0.0327223012452224,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Johnson_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Ag_Johnson_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Ag_Johnson_0.3_1.1um
Ag,Ag_Ag_McPeak,Ag / McPeak,Ag,McPeak,,records/Ag_Ag_McPeak.json,experimental/Ag_Ag_McPeak/raw_database_points.json,experimental/Ag_Ag_McPeak/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,12,12,12,3.0,SemiAnalyticalCP,SCP_M3,0.017640863083676,5,0.3,1.1,15,12,True,SCP,models/VISNIR_ANY_Ag_McPeak_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Ag_McPeak_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Ag_McPeak_0.3_1.1um
Ag,Ag_Ag_Rakic-BB,Ag / Rakic-BB,Ag,Rakic-BB,,records/Ag_Ag_Rakic-BB.json,experimental/Ag_Ag_Rakic-BB/raw_database_points.json,experimental/Ag_Ag_Rakic-BB/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,3.0,RP,RP_M3,0.0027643500215649,5,0.3,1.1,15,14,True,RP,models/VISNIR_ANY_Ag_Rakic-BB_0.3_1.1um/RP_M3.json,model_curves/VISNIR_ANY_Ag_Rakic-BB_0.3_1.1um/RP_M3.json,VISNIR_ANY_Ag_Rakic-BB_0.3_1.1um
Ag,Ag_Ag_Rakic-LD,Ag / Rakic-LD,Ag,Rakic-LD,,records/Ag_Ag_Rakic-LD.json,experimental/Ag_Ag_Rakic-LD/raw_database_points.json,experimental/Ag_Ag_Rakic-LD/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,2.0,SemiAnalyticalCP,SCP_M2,0.0026354434380473,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Rakic-LD_0.3_1.1um/SCP_M2.json,model_curves/VISNIR_ANY_Ag_Rakic-LD_0.3_1.1um/SCP_M2.json,VISNIR_ANY_Ag_Rakic-LD_0.3_1.1um
Ag,Ag_Ag_Stahrenberg,Ag / Stahrenberg,Ag,Stahrenberg,,records/Ag_Ag_Stahrenberg.json,experimental/Ag_Ag_Stahrenberg/raw_database_points.json,experimental/Ag_Ag_Stahrenberg/fitting_grid_points.json,"[0.3, 0.49594]",fitting_grid_points,10,10,10,3.0,SemiAnalyticalCP,SCP_M3,0.0257441501406761,5,0.3,0.49594,15,10,True,SCP,models/VISNIR_ANY_Ag_Stahrenberg_0.3_0.4959um/SCP_M3.json,model_curves/VISNIR_ANY_Ag_Stahrenberg_0.3_0.4959um/SCP_M3.json,VISNIR_ANY_Ag_Stahrenberg_0.3_0.4959um
Ag,Ag_Ag_Werner-DFT,Ag / Werner-DFT,Ag,Werner-DFT,,records/Ag_Ag_Werner-DFT.json,experimental/Ag_Ag_Werner-DFT/raw_database_points.json,experimental/Ag_Ag_Werner-DFT/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,5.0,SemiAnalyticalCP,SCP_M5,0.0147041700686844,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Ag_Werner-DFT_0.3_1.1um
Ag,Ag_Ag_Werner,Ag / Werner,Ag,Werner,,records/Ag_Ag_Werner.json,experimental/Ag_Ag_Werner/raw_database_points.json,experimental/Ag_Ag_Werner/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,3.0,SemiAnalyticalCP,SCP_M3,0.0016901490814571,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Werner_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Ag_Werner_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Ag_Werner_0.3_1.1um
Ag,Ag_Ag_Wu,Ag / Wu,Ag,Wu,,records/Ag_Ag_Wu.json,experimental/Ag_Ag_Wu/raw_database_points.json,experimental/Ag_Ag_Wu/fitting_grid_points.json,"[0.3, 0.999308]",fitting_grid_points,14,14,14,4.0,SemiAnalyticalCP,SCP_M4,0.0014199298314164,5,0.3,0.999308,15,14,True,SCP,models/VISNIR_ANY_Ag_Wu_0.3_0.9993um/SCP_M4.json,model_curves/VISNIR_ANY_Ag_Wu_0.3_0.9993um/SCP_M4.json,VISNIR_ANY_Ag_Wu_0.3_0.9993um
Ag,Ag_Ag_Yang,Ag / Yang,Ag,Yang,,records/Ag_Ag_Yang.json,experimental/Ag_Ag_Yang/raw_database_points.json,experimental/Ag_Ag_Yang/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,5.0,SemiAnalyticalCP,SCP_M5,0.0140688866605568,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Ag_Yang_0.3_1.1um/SCP_M5.json,model_curves/VISNIR_ANY_Ag_Yang_0.3_1.1um/SCP_M5.json,VISNIR_ANY_Ag_Yang_0.3_1.1um
Al2O3,Al2O3_Al2O3_Boidin,Al2O3 / Boidin,Al2O3,Boidin,,records/Al2O3_Al2O3_Boidin.json,experimental/Al2O3_Al2O3_Boidin/raw_database_points.json,experimental/Al2O3_Al2O3_Boidin/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,13,13,13,1.0,SemiAnalyticalCP,SCP_M1,0.0004802583257646,5,0.3,1.1,15,13,True,SCP,models/VISNIR_ANY_Al2O3_Boidin_0.3_1.1um/SCP_M1.json,model_curves/VISNIR_ANY_Al2O3_Boidin_0.3_1.1um/SCP_M1.json,VISNIR_ANY_Al2O3_Boidin_0.3_1.1um
